Name,X,Y,S1,S2,Cluster
15-12,327137.93,4.40603467e6,0.8077573240301831,0.5667960117048806,B
17-31,328813.04,4.40882204e6,0.360428531569729,0.2923711069668229,B
18-1,327026.54,4.40703217e6,0.6184634356590809,0.7363025270035599,A
18-31,328801.97,4.40871725e6,0.2577432444378155,0.18660128612618807,B
18A-1,327056.33,4.40703775e6,0.5203902763488895,0.7866188890392309,A
18B-31,328791.32,4.40871144e6,0.3449665988153396,0.19068156784141466,B
18D-31,328751.91,4.40862911e6,0.2956868060810423,0.1975979350974888,B
22-13,327161.72,4.4051245e6,0.29597323587707075,0.7456842614138259,A
26-12,327300.66,4.40579963e6,0.43541633459424284,0.48165699299812653,B
27-1,327256.49,4.40720478e6,0.41550749563137823,0.8339728637684268,A
27A-1,327256.49,4.40720478e6,0.415507495631375,0.8339735084213901,A
46-1,327805.01,4.40748476e6,0.500009732769677,0.5902080430656884,A
46A-1,327774.78,4.40740108e6,0.4476661944321211,0.6181328797828367,A
47A-1,327661.35,4.40729129e6,0.518978303825302,0.854650049715843,A
47C-1,327746.25,4.4073085e6,0.4352517182415042,0.7317411557080616,A
48A-1,327704.9,4.40718065e6,0.11860087512142233,0.5820028773180269,A
55-1,328014.47,4.40772054e6,0.9547753239779212,0.3890004622224704,B
56-1,327963.43,4.40755491e6,1.0,0.6613413415938412,B
56A-1,327859.51,4.40755578e6,0.7546524592616176,0.5709362459982528,B
56B-1,327891.35,4.40745289e6,0.2672168339127916,0.48552345649430967,A
57-1,327931.46,4.40741438e6,0.9495591626275853,0.8184578551047353,B
64-1,328156.6,4.40795433e6,0.5271265441107381,0.8716349816374401,A
68A-1,328229.72,4.40707921e6,0.6788087385118101,0.9120381476501216,A
68B-1,328065.7,4.40706164e6,0.7675288430017948,0.6951542450751947,B
77-1,328214.13,4.40718169e6,0.8241788491057019,0.8435723162678485,B
81-1,328567.28,4.40851194e6,0.23080635668090393,0.20489621949768927,B
81-11,326859.34,4.4069495e6,0.34590692863465505,0.4271506619993419,A
81A-1,328598.76,4.40855648e6,0.2043419615560632,0.19744725979136737,B
81B-1,328528.63,4.40843124e6,0.3172676121008903,0.14747957904236686,B
82A-11,326907.12,4.40670723e6,0.21367857970937754,0.7611978159101941,A
82A-11-RD1,326907.12,4.40670723e6,0.21367783461863468,0.7611984747308513,A
82A-11-RD2,326907.12,4.40670723e6,0.21367581547115988,0.7612002600920024,A
82A-11-RD3,326907.12,4.40670723e6,0.21367705732721096,0.7611991620238443,A
88-11,326889.0,4.40544507e6,0.5406385450331911,0.6781154919575751,A
B1,327745.53,4.40596877e6,0.47974506180972387,0.508146644093668,B
B2,327721.65,4.40609786e6,2.2751489632314316e-16,0.12650681209654943,A
B3,327738.97,4.40619405e6,0.13594189259241318,0.2394672554801826,A
B4,327778.14,4.40639034e6,0.2891156967235679,0.22423003239219888,B
B5,327713.81,4.40629808e6,0.4443594018041645,0.6215046944911049,A
B5A,327754.04,4.40637455e6,0.44307883195961045,0.323795625677355,B
B6,327848.36,4.40636567e6,0.2602505210143362,0.2023849962077978,B
B7,327784.51,4.40629935e6,0.15838282273859935,0.04678812901339843,B
B8,327603.56,4.40643766e6,0.4052222271431603,0.9908734737749748,A
BCH-1,328398.2,4.40887416e6,0.6022294829002658,0.46699693344493404,B
BCH-2,327732.14,4.40800628e6,0.6747083912370091,0.722662094270648,B
BCH-3,327126.74,4.40600409e6,0.871549468568794,0.5400087032091602,B
EE-1,327575.0,4.40640489e6,0.38990298762038184,1.0,A
MG-1(SP-1),328194.09,4.4071925e6,0.6495924640588542,0.9397375541715676,A
MG-2(SP-2),328128.08,4.4076273e6,0.6196166139325026,0.8547958861167191,A
MGI-1,327853.91,4.40678619e6,0.18343010111602506,0.23735482137051406,A
MGI-2,327994.35,4.40709171e6,0.296380312019736,0.09116843043683966,B
