Name,X,Y,S1,S2,S3,S4,Cluster
15-12,327137.93,4.40603467e6,0.8231611153837268,0.8332450833698627,0.7349789448416403,0.17887716809051712,C
17-31,328813.04,4.40882204e6,0.3423780817354598,0.37450990296120407,0.2773047959856603,0.17124253721439409,C
18-1,327026.54,4.40703217e6,0.729987916477728,0.62486957942058,0.8077256193710826,0.34974090092976895,C
18-31,328801.97,4.40871725e6,0.27369943620517184,0.26271099112628776,0.12253183673399887,0.11742563362709688,C
18A-1,327056.33,4.40703775e6,0.7468023968583767,0.5269452282054331,0.7659595415004801,0.38186646632276816,C
18B-31,328791.32,4.40871144e6,0.29848246986679333,0.3524927744669111,0.1648648934555613,0.12249562226399514,C
18D-31,328751.91,4.40862911e6,0.32807073450782315,0.30458377923724045,0.20623078298290062,0.06823397737057466,C
22-13,327161.72,4.4051245e6,0.7926290421937048,0.30810605825662746,0.9020336792545699,0.12461551433947517,D
26-12,327300.66,4.40579963e6,0.37580257685821,0.4489991108537932,0.5069582222384651,0.3119301616380206,A
27-1,327256.49,4.40720478e6,0.9999921522790861,0.42791412807688617,0.4864455177396237,0.3748674595550589,C
27A-1,327256.49,4.40720478e6,1.0,0.42791643630611664,0.48644512111653504,0.3748618805426839,C
46-1,327805.01,4.40748476e6,0.5445268693384039,0.49801334835203737,0.2534144217929418,0.5161521085108968,B
46A-1,327774.78,4.40740108e6,0.5136000336253672,0.44544606990544766,0.2442333322034605,0.5535862069692647,B
47A-1,327661.35,4.40729129e6,0.6225019602300913,0.513293521856914,0.34878518568195055,0.7724877905388386,B
47C-1,327746.25,4.4073085e6,0.536435849005671,0.43342181018609427,0.28120560513787635,0.6619523963675795,B
48A-1,327704.9,4.40718065e6,0.3882344037017714,0.11890275971815012,0.15567465012378293,0.48260022659765817,B
55-1,328014.47,4.40772054e6,0.1990605792386994,0.9512800491697523,0.3839042803442804,0.6126095190055447,A
56-1,327963.43,4.40755491e6,0.5140864252011268,1.0,0.5187017690121469,0.7145409058789981,A
56A-1,327859.51,4.40755578e6,0.48682090259429306,0.7527446506130975,0.30154769790647,0.6173406913439643,A
56B-1,327891.35,4.40745289e6,0.40528892429014524,0.26727697872040856,0.13913490697156022,0.42161474759597634,B
57-1,327931.46,4.40741438e6,0.6608429791964059,0.9486127536557108,0.5690188654330322,0.7775060278887149,A
64-1,328156.6,4.40795433e6,0.20815278775821644,0.5228515776698804,0.46798292663574625,1.0,B
68A-1,328229.72,4.40707921e6,0.3557502522717302,0.6724515723428938,0.8866277972275967,0.8123733049197291,A
68B-1,328065.7,4.40706164e6,0.22578005935205012,0.7561680956797299,0.49671794963511967,0.8572469824835842,A
77-1,328214.13,4.40718169e6,0.40661815796922696,0.8218826928583886,0.823357889632924,0.7858786019963356,A
81-1,328567.28,4.40851194e6,0.27330975736786556,0.23641536944131336,0.12967333107239074,0.1252545775753036,C
81-11,326859.34,4.4069495e6,0.7041974425452023,0.35409853969475985,0.2488921766003046,0.12819491693200208,C
81A-1,328598.76,4.40855648e6,0.2590336120060137,0.2081098333792366,0.09613552235496492,0.13134993905180367,C
81B-1,328528.63,4.40843124e6,0.2720084960136953,0.32395746593345903,0.1414610047475749,0.08336825910172278,C
82A-11,326907.12,4.40670723e6,0.8945288918496188,0.21302192396715228,0.8060600840251579,0.10130198770533748,D
82A-11-RD1,326907.12,4.40670723e6,0.8945066456579549,0.213022110316345,0.8060094776904838,0.10134210923828271,D
82A-11-RD2,326907.12,4.40670723e6,0.8945528421504036,0.2130218260582272,0.8061099570759691,0.10126109551629466,D
