Name,S1,S2,Cluster
Normal stress,0.7002692905567276,0.5485708448914682,A
Coulomb shear stress,0.7317209817586119,0.5162953986384066,A
Dilation,0.6581568622722396,0.6889698245225001,A
Faulting,0.8023784291575293,0.7711603022041036,A
Fault dilation tendency,0.4521044354734538,0.5114369093150337,A
Fault slip tendency,0.3080503384995604,0.37160527027496715,A
Fault curvature,0.4005887117912867,0.4586409588593338,A
Temperature,0.10057690350948614,0.11870683334803789,A
Fault density,0.5814119802056021,1.0,B
Fault intersection density,0.4449704168804477,0.7787999196161688,B
Inverse distance from contacts,0.14530528839155957,0.46480829293645043,B
Inverse distance from faults,1.0,0.9725559258122248,A
Unit thickness,0.9882999253048043,0.8895245173983584,A
Lithology,0.6841634978036244,0.4189962685273881,A
