Name,S1,S2,S3,Cluster
Normal stress,0.6565164622841432,0.3890920827065375,0.6676738751056,A
Coulomb shear stress,0.7211157329935055,0.3627607358694372,0.6453756017323272,A
Dilation,0.7226498495563033,0.6489017517599742,0.5360264651599852,B
Faulting,0.9663782484753993,0.7628515101295062,0.5309908366535198,B
Fault dilation tendency,0.3555586978847062,0.4290348118841748,0.5466797720709645,A
Fault slip tendency,0.2447465852486552,0.32021973502640033,0.3771681567817862,A
Fault curvature,0.3085044316932551,0.38630483693275713,0.4902942444410906,A
Temperature,0.08548815881205468,0.111882465945239,0.10952125962368052,A
Fault density,0.6367412949908707,1.0,0.6225759167642604,C
Fault intersection density,0.22450599730004903,0.6899206872196854,0.7347731806956544,A
Inverse distance from contacts,0.1435583732823297,0.6035517864385288,0.18264776895489915,C
Inverse distance from faults,0.9051573246266297,0.8304934737969704,1.0,A
Unit thickness,1.0,0.7232584719460587,0.8990099018617546,A
Lithology,0.857748247383585,0.4457532035168469,0.28908969475,B
