Name,S1,S2,S3
15-12,2086.1215561316494,1189.6865227710773,1685.7445172135724
17-31,943.2618328030451,439.3038339798585,984.1625473330804
18-1,1580.3734458385313,1238.9639256562782,2150.4647710664262
18-31,659.9837908826487,199.9815748549466,745.4433231711151
18A-1,1335.014896535301,1186.2997602132957,2307.5009611339033
18B-31,885.6431113897918,265.77230704888984,768.5067890435662
18D-31,762.7039240331774,336.33052210440286,678.9091331183464
22-13,776.661839785935,1384.8988658466365,1740.1592129343785
26-12,1135.9740164667237,783.8178761713956,1436.867851995371
27-1,1068.9802542085758,805.7269360713985,2778.3276436451324
27A-1,1068.9802542085758,805.7270409572011,2778.330035567375
46-1,1259.2851075190424,413.7564358126082,2325.258022815888
46A-1,1128.559361164291,396.96196806749595,2401.6753175289473
47A-1,1304.7177327021618,555.999021297228,3226.755110344002
47C-1,1103.9136675383086,453.3372547903001,2767.4470715527677
48A-1,303.0776261080994,255.1075152650053,2102.140049228348
55-1,2425.400218077037,593.9140697593867,1757.104007732478
56-1,2538.1585374160345,814.0323893914998,2633.911004733156
56A-1,1909.2839243234198,483.28979536147176,2403.1484324270286
56B-1,678.881962088251,233.41073689082017,1883.3164876048504
57-1,2405.5968987117167,893.6173251173905,3122.6737057223922
64-1,1334.9262556194794,730.9163349168971,3115.3186204921576
68A-1,1719.8060394155686,1322.7711946268819,2814.529294117412
68B-1,1941.346936775332,729.4567730011827,2650.124899055545
77-1,2099.869794806,1239.7933072971618,2750.1110509055543
81-1,591.4720940672203,203.22456447855294,789.3205829374497
81-11,892.8391981658469,444.03057524542686,1502.1421678527072
81A-1,520.7682632662348,154.10453009106962,789.6623477396752
81B-1,809.4867676513977,220.6200675030171,627.6300132031831
82A-11,533.719998250895,1297.4172617926931,1848.83721393852
82A-11-RD1,533.719998250895,1297.4172617926931,1848.83721393852
82A-11-RD2,533.719998250895,1297.4172617926931,1848.83721393852
82A-11-RD3,533.719998250895,1297.4172617926931,1848.83721393852
88-11,1414.1362360313815,1552.3393108691912,1511.4385117194086
B1,1224.0317905997763,938.6844007959505,1448.3514628002458
B2,5.626210154662298e-13,109.52803723819997,380.4460194320577
B3,342.49497038036225,293.1954435838813,757.3456993591517
B4,727.9726486028385,204.17440733316914,926.4416068487623
B5,1122.4880794302178,717.7273052606283,2088.716017560507
B5A,1123.067270255689,418.1313918751845,1230.2890017085113
B6,660.0681200560767,304.13346634787877,710.9256201498022
B7,396.3379082188693,50.27800491063388,277.0063913505724
B8,1026.2350426075977,635.3395043041253,3563.9291604480995
BCH-1,1532.611676279002,467.828452316837,1870.7176697777504
BCH-2,1712.4262198171998,716.3359141680895,2680.8289320122312
BCH-3,2252.555030471419,1217.6648416442715,1606.0489700148594
EE-1,989.7842215488522,638.7723751462703,3579.8319401671924
MG-1(SP-1),1664.5141637422369,1171.4688640534205,3028.3504367613464
MG-2(SP-2),1592.4600937152293,1007.7923452013496,2832.436063708176
MGI-1,458.68275529091466,117.9133890075069,970.8891672839645
MGI-2,738.9186193171979,75.27600876557518,553.9114175891315
