Name,X,Y,S1,S2,Cluster
15-12,327137.93,4.40603467e6,0.8057264057904518,0.5612510421466981,B
17-31,328813.04,4.40882204e6,0.36056688601862,0.2891485322403058,B
18-1,327026.54,4.40703217e6,0.6184953660164315,0.7321049054364606,A
18-31,328801.97,4.40871725e6,0.2577414691842123,0.18427770962922121,B
18A-1,327056.33,4.40703775e6,0.5204099726478169,0.783910077894127,A
18B-31,328791.32,4.40871144e6,0.3449742304824738,0.18727390956833123,B
18D-31,328751.91,4.40862911e6,0.2956779414226307,0.19485791907019315,B
22-13,327161.72,4.4051245e6,0.2960292208873377,0.7455613950700205,A
26-12,327300.66,4.40579963e6,0.43543049853016763,0.47852973431483503,B
27-1,327256.49,4.40720478e6,0.41549901398729877,0.832838279977203,A
27A-1,327256.49,4.40720478e6,0.4154990139872743,0.8328389277814107,A
46-1,327805.01,4.40748476e6,0.5000203990463554,0.5868032489962182,A
46A-1,327774.78,4.40740108e6,0.4476676165027931,0.6155303692840116,A
47A-1,327661.35,4.40729129e6,0.5189517901006909,0.8523331664611091,A
47C-1,327746.25,4.4073085e6,0.4352418494293173,0.7298600945302145,A
48A-1,327704.9,4.40718065e6,0.11859600822167102,0.5833625772602143,A
55-1,328014.47,4.40772054e6,0.9548615570170801,0.3788320341791502,B
56-1,327963.43,4.40755491e6,1.0,0.652013853319502,B
56A-1,327859.51,4.40755578e6,0.7546809811155142,0.5642227703484255,B
56B-1,327891.35,4.40745289e6,0.2672167330817908,0.4845405865739759,A
57-1,327931.46,4.40741438e6,0.9495214090856419,0.8105659628973567,B
64-1,328156.6,4.40795433e6,0.5271224174508341,0.8692786077828646,A
68A-1,328229.72,4.40707921e6,0.6788173310749549,0.9079626409178345,A
68B-1,328065.7,4.40706164e6,0.767518344212271,0.6889214084142106,B
77-1,328214.13,4.40718169e6,0.8241907680864199,0.8373332431763889,B
81-1,328567.28,4.40851194e6,0.23080555090815585,0.2029995347516944,B
81-11,326859.34,4.4069495e6,0.3460544678234806,0.42476104269150433,A
81A-1,328598.76,4.40855648e6,0.20433885209756023,0.19584863899860405,B
81B-1,328528.63,4.40843124e6,0.3172487050033852,0.14423255996964096,B
82A-11,326907.12,4.40670723e6,0.2140188284703844,0.7619282790188596,A
82A-11-RD1,326907.12,4.40670723e6,0.2140583122225113,0.7618927002932689,A
82A-11-RD2,326907.12,4.40670723e6,0.21401357795096734,0.7619330102508091,A
82A-11-RD3,326907.12,4.40670723e6,0.21401918364124356,0.7619279589751492,A
88-11,326889.0,4.40544507e6,0.5396007270482845,0.675574888785998,A
B1,327745.53,4.40596877e6,0.4798063658667518,0.5045496139095841,B
B2,327721.65,4.40609786e6,2.3056265410694207e-16,0.12712520907609956,A
B3,327738.97,4.40619405e6,0.1359343697542214,0.2389371405647908,A
B4,327778.14,4.40639034e6,0.2891000607810167,0.22170883735760266,B
B5,327713.81,4.40629808e6,0.44434575831079953,0.6189737760905363,A
B5A,327754.04,4.40637455e6,0.4430698939469254,0.3198212750213741,B
B6,327848.36,4.40636567e6,0.26024267335617046,0.2001125541476009,B
B7,327784.51,4.40629935e6,0.1583736181284554,0.04503580111599524,B
B8,327603.56,4.40643766e6,0.40520753733197207,0.9906406395842989,A
BCH-1,328398.2,4.40887416e6,0.6023040494346227,0.46164836248398283,B
BCH-2,327732.14,4.40800628e6,0.6747080473793021,0.7177204241049765,B
BCH-3,327126.74,4.40600409e6,0.8696478696939033,0.5334150133130257,B
EE-1,327575.0,4.40640489e6,0.3898929506354312,1.0,A
MG-1(SP-1),328194.09,4.4071925e6,0.6496100181344018,0.9361563387662866,A
MG-2(SP-2),328128.08,4.4076273e6,0.6196350979845592,0.85117512194743,A
MGI-1,327853.91,4.40678619e6,0.18341510878234216,0.23622464540624175,A
MGI-2,327994.35,4.40709171e6,0.29637930549919306,0.08789236874945419,B
