Name,S1,S2
Normal stress,12609.885027559463,6536.220588516933
Coulomb shear stress,12758.651257465757,6387.980093699747
Dilation,10590.807986979347,9640.00006305777
Faulting,11609.180308825098,11780.050101255472
Fault dilation tendency,10597.483047657008,5375.415954789472
Fault slip tendency,7272.833291113939,3992.688730777435
Fault curvature,9405.50665791432,4855.0229012465925
Temperature,2303.504123349524,1317.5181269314835
Fault density,12881.417791538133,12473.500170838044
Fault intersection density,12269.246812483465,8104.521882187205
Inverse distance from contacts,2815.9296286142544,7530.256747468313
Inverse distance from faults,18606.20010716497,12342.110138261432
Unit thickness,16903.798823711026,11732.873378243363
Lithology,8660.447682634003,7454.882432354853
