Name,S1,S2,S3,S4,S5
Normal stress,2122.182479608592,2704.564122041328,3033.038198106641,5601.353744964571,4822.72692086959
Coulomb shear stress,2430.7004913889405,2414.2434986612407,3425.611326861692,5000.344357676311,4805.278476606865
Dilation,4814.953983808719,3045.290585891153,3097.533623225944,7007.797553263992,1973.4723122158994
Faulting,7764.143818774871,2128.6823289223253,4222.316521220791,7471.83428787259,1721.741304432826
Fault dilation tendency,4028.977438913949,1333.6590806947513,2475.708014370962,3810.683483058316,3791.9255458125995
Fault slip tendency,3007.746563020701,953.083693391428,1691.0514256593397,2707.0606261731914,2565.9592351345723
Fault curvature,3600.586463777945,1129.3105168166849,2173.1864755831125,3505.6920385770864,3368.3443276883663
Temperature,1065.578973639944,341.90643577650593,493.10182607244315,880.744388182972,719.0673444560883
Fault density,9170.955676543334,2870.5406831221535,2682.411076508026,7744.107954345854,2846.533019727872
Fault intersection density,5271.017083713137,2383.048857557369,1242.2139415050042,6551.614864537936,4704.3763403480725
Inverse distance from contacts,604.2213655423002,5246.593376691607,325.68430666546914,3308.043373210801,714.983205047137
Inverse distance from faults,7453.307011614497,3191.878988723854,4988.111194641012,8319.167525930852,6390.7426695263475
Unit thickness,7880.348032422133,1972.7583985191052,4434.7915298439875,8557.649671643077,5606.257546064586
Lithology,3363.0833232529635,2346.4189210559293,4150.885507107023,2804.4411858560184,2474.1682694024353
