Name,X,Y,S1,S2,Signal
15-12,327137.93,4.40603467e6,0.7082812622162864,1.820815512656103e-16,B
17-31,328813.04,4.40882204e6,0.15524406709085678,0.6060063808420487,A
18-1,327026.54,4.40703217e6,0.3618964643830036,0.41948428881511274,A
18-31,328801.97,4.40871725e6,1.0,0.00028313456861002846,B
18A-1,327056.33,4.40703775e6,0.35559640723309566,0.4027968506142723,A
18B-31,328791.32,4.40871144e6,0.9681365075019742,0.033998163295164925,B
18D-31,328751.91,4.40862911e6,0.7038448526372694,0.2885562778366818,B
22-13,327161.72,4.4051245e6,0.28110443500018073,0.3329702674913218,A
26-12,327300.66,4.40579963e6,0.47144842651200936,0.30143393831386533,B
27-1,327256.49,4.40720478e6,0.6376472653773873,0.032094576884841984,B
46-1,327805.01,4.40748476e6,0.7376198905985474,0.10540503983417229,B
46A-1,327774.78,4.40740108e6,0.7337217683530445,0.10954999003150533,B
47A-1,327661.35,4.40729129e6,0.5114505727182203,0.309755648361942,B
47C-1,327746.25,4.4073085e6,0.8073004410737242,4.115271594075901e-7,B
48A-1,327704.9,4.40718065e6,0.8356313459662881,2.529590511056182e-6,B
55-1,328014.47,4.40772054e6,0.4783166560567543,0.49622137209240585,A
56-1,327963.43,4.40755491e6,0.49460376859927196,0.4624219713706515,A
56A-1,327859.51,4.40755578e6,0.8648547747051218,6.4163182951662864e-9,B
56B-1,327891.35,4.40745289e6,0.47183209984331165,0.4135443422341403,A
57-1,327931.46,4.40741438e6,0.5440944450968643,0.44976984881978604,A
64-1,328156.6,4.40795433e6,1.8086756506153533e-16,0.8926847263028126,A
68A-1,328229.72,4.40707921e6,0.1730579519420974,0.8002770743591581,A
68B-1,328065.7,4.40706164e6,0.3444230729023124,0.6915790679817082,A
77-1,328214.13,4.40718169e6,0.3207593731472302,0.6620987985454903,A
81-1,328567.28,4.40851194e6,0.8635562676862383,0.00047970844254083657,B
81-11,326859.34,4.4069495e6,0.6465210606599404,0.020921571068329318,B
81A-1,328598.76,4.40855648e6,0.8410448454707434,5.207556994072436e-5,B
81B-1,328528.63,4.40843124e6,0.7895412489658639,0.18651146748356703,B
82A-11,326907.12,4.40670723e6,0.19421118886129757,0.3996390333917783,A
88-11,326889.0,4.40544507e6,0.639239899310976,5.827656042878974e-8,B
B1,327745.53,4.40596877e6,0.5686371033673064,0.18470295852677254,B
B2,327721.65,4.40609786e6,0.8030268076488475,0.11949572559417028,B
B3,327738.97,4.40619405e6,1.0255243992091875e-5,0.8074701485549699,A
B4,327778.14,4.40639034e6,0.007265809625867031,0.8979765551038179,A
B5,327713.81,4.40629808e6,3.0525625481432857e-6,0.8663888489206245,A
B5A,327754.04,4.40637455e6,0.0756084919782976,0.8134143858683991,A
B6,327848.36,4.40636567e6,0.008798645169171587,0.8888263868898264,A
B7,327784.51,4.40629935e6,0.02285121642585558,0.9709774656623167,A
B8,327603.56,4.40643766e6,0.30689272164329434,0.5299260038080154,A
BCH-1,328398.2,4.40887416e6,0.596694250653546,0.10227996772833925,B
BCH-2,327732.14,4.40800628e6,0.4890600833312716,0.29009127212580504,B
BCH-3,327126.74,4.40600409e6,0.7246574601804656,1.820815512656103e-16,B
EE-1,327575.0,4.40640489e6,0.3331254450276826,0.49531604041451094,A
MG-1(SP-1),328194.09,4.4071925e6,0.17776078973136003,0.7958462285738532,A
MG-2(SP-2),328128.08,4.4076273e6,4.683276612648795e-14,0.9360214537873823,A
MGI-1,327853.91,4.40678619e6,0.1620052040880864,0.754512836761339,A
MGI-2,327994.35,4.40709171e6,0.09831781867278969,1.0,A
