Name,S1,S2,S3,Signal
Normal stress,0.1946598657893592,0.22729285936081264,0.5588665278998661,A
Coulomb shear stress,0.19365987701227277,0.2588535680625477,0.5414566033361222,A
Dilation,0.19019563888878885,0.21421590646082186,0.6505443056589013,A
Faulting,0.20925040980577514,0.32149619737979185,0.701054004926126,A
Fault dilation tendency,1.0,2.6244323926316944e-16,3.2167790128622766e-16,B
Fault slip tendency,0.7061461395777455,2.6244323926316944e-16,3.2167790128622766e-16,B
Fault curvature,0.8906899843519821,2.6244323926316944e-16,3.2167790128622766e-16,B
Temperature,0.23930605182825954,2.6244323926316944e-16,3.2167790128622766e-16,B
Fault density,0.2620148156192237,0.41654399475793435,0.6374437299268618,A
Fault intersection density,0.29192079709894636,0.09971558249832221,0.6260165867210283,A
Inverse distance from contacts,0.1219724893131615,0.029971434298160786,0.3750361845299599,A
Inverse distance from faults,0.4954046261875004,0.37132429930738686,0.7775523403052909,A
Unit thickness,0.37746857327348393,0.016130769682903088,1.0,A
Lithology,0.0119298230193726,1.0,3.403632666877307e-6,C
