Name,S1,S2,S3,S4,S5,S6
Normal stress,4766.3911450129135,4423.545999648321,1022.1382403969791,2946.992231663344,3239.422008264585,2374.8031471693675
Coulomb shear stress,4476.414809005928,4184.962235151884,1422.6521846268656,3415.3410848610224,3034.460389736359,2097.038667730993
Dilation,1654.6559189001025,5574.756525146366,2813.3071492057957,3090.926057045481,4069.096045180708,2619.089083601076
Faulting,1305.9294352564584,5879.547736227742,4990.700672410511,4220.2980658625165,4728.820713428783,1902.4596096263801
Fault dilation tendency,4445.171861337506,3716.9143470937547,3166.8467297976235,1847.2426700004798,1797.0781007164505,1675.264852505012
Fault slip tendency,3074.770549172223,2595.8996133852133,2347.751698225429,1258.2423890658604,1322.3762741383066,1154.966072232984
Fault curvature,4000.9871912011154,3368.506709545777,2830.3706964074595,1603.6017867362543,1636.6553207656234,1444.1771795548034
Temperature,710.9043282378516,911.9026396075358,876.0829546645101,399.05705745756757,419.4590770301657,389.1313883569439
Fault density,2384.320187903486,6666.5587923491785,6448.428196581076,2532.2991215250704,4531.763183396405,2720.403644076024
Fault intersection density,4459.687385949092,5267.221685753618,3089.915813872375,1191.6628023573007,4144.037399138176,2081.369373533443
Inverse distance from contacts,287.36310512795603,1050.1173919278656,290.40076651438807,855.0784908511514,3824.7771698705164,3575.084362830755
Inverse distance from faults,5285.247193304704,6021.785800551491,3983.4546712682313,4401.070524061812,4495.06513551858,2547.462370090736
Unit thickness,4964.504403220976,6119.321869322745,4745.36160131465,4686.441505419832,5794.9686449942155,1720.5906868020388
Lithology,1944.8018445406535,2108.587618173485,1924.9584422057528,4086.8187318732994,1864.1045231399776,2492.675260148181
