Name,S1,S2,S3,S4,S5
15-12,1031.093232527505,1746.3548472387054,102.90047805041307,376.5463983360108,1597.9174090689746
17-31,280.13742962230447,623.5898518372862,119.93264748703254,550.8913900475138,714.3360887044121
18-1,1184.9548666312783,1586.5122303489281,569.6625503639517,305.7568342999726,1213.6051554793962
18-31,119.83122322460355,511.23096038445397,68.13499835499938,370.1090459703625,502.3797169370396
18A-1,1123.8576033153902,1647.0966381129233,570.2052517603754,344.6057456738165,1023.2126585976284
18B-31,156.27505776007735,523.5596876767557,74.98251150697135,448.7556336843914,673.263291378782
18D-31,239.11420909105274,621.1465574842235,55.7401071279492,249.5244378012306,582.5717013335818
22-13,960.40083558134,632.0389158153832,40.90474284050846,1570.2384017290547,573.1229778013658
26-12,578.2580344359833,926.0554380202555,264.29117048434955,638.7516229250258,865.6180762045241
27-1,678.3475041703505,2225.7203518718275,251.22379313291867,560.0755886502961,817.4697883815616
46-1,321.71674057297014,1277.5641027909708,206.54423252121256,1172.0356347419365,953.0973457773737
46A-1,293.29543601581184,1259.3939839105783,197.6812622561955,1279.922398073606,852.4067148992272
47A-1,415.75234207445226,1576.9499353638275,252.85099906030035,1753.1947276170297,985.3241723288171
47C-1,317.76800014335385,1414.503592200059,229.83469052649218,1480.4374122748982,831.9041897687797
48A-1,176.41016279351635,1032.3450142590525,152.59289561103424,1028.0104615746773,228.44229756969452
55-1,436.0603111453193,698.4288706820122,499.27207298166195,1221.9747273901016,1835.3727858939465
56-1,561.3876383389536,1176.230854859401,335.6677483304861,1884.2563114617608,1914.2381777176026
56A-1,329.61784501204374,1195.7095571618856,247.62747023781805,1490.0647623059785,1438.7090404234746
56B-1,144.40061851147723,1040.4256162394386,215.9860640301816,862.1137889176437,512.8662558363192
57-1,627.1886295150774,1579.2675138309437,377.5880663313755,1907.3307805531474,1817.2584678355183
64-1,517.1727184701812,702.1159203200892,1035.9097178575325,1753.882111070501,1018.6707566295825
68A-1,1211.66971563388,1335.4484711214345,1198.7774825467973,652.2642127136314,1308.251964905635
68B-1,660.4774888338065,1238.058856182709,1127.897634678365,731.0572548670997,1485.7040693498984
77-1,1124.308967062661,1370.1385547629743,1065.046399788142,833.150327370033,1603.343153479635
81-1,104.41487812150416,492.08424924344223,2.389641574970879,494.08956131804194,448.1611042644374
81-11,354.13256649903434,1333.5833885611933,219.62618130848293,160.85931836204014,684.3317813460606
81A-1,79.38199337574501,478.3344166780742,8.105423649560294,466.62146466743275,394.97061192544584
81B-1,116.17594925017887,469.15220741020795,4.810399019348614,412.1931166890474,613.2428394683445
82A-11,1166.361336981443,1552.89683770098,101.76351002704179,529.0866165682908,411.3991441508914
88-11,1276.441891210864,1191.8691452913574,91.85314382710975,695.3843690357666,1071.448156714439
B1,804.9119929374559,392.01816159531666,425.00589428719127,977.3688244199373,920.3987225891426
B2,106.23857403727591,192.66627271360906,115.20573207847065,62.69589367760643,3.701844581764814e-13
B3,293.6963914646376,369.1449211091402,304.1504174291529,134.04337065474712,261.6296344830188
B4,182.1631797708377,497.5132616658954,351.1728959028419,250.07727354559188,558.9790539698636
B5,600.5693539841036,1058.1339824841891,782.334930434262,501.99354707660405,859.9676898752377
B5A,372.47934553221563,665.0768300630382,527.5413615772534,297.7490597088064,860.6125679078463
B6,295.38027504354596,387.34586347200644,288.4313494187354,172.81015664219262,503.8567648010192
B7,42.39046769736815,158.67753567964394,124.18783088374502,88.33588983102946,304.25252005895965
B8,461.9027910394783,1826.4919161102198,1157.1672848669311,892.5862019020265,788.5351920073828
BCH-1,286.3343276772044,1026.7159424655806,6.318545483518245,1293.5935794283073,1159.7590016113888
BCH-2,586.0346605616872,1429.0224933566633,582.4336409207361,1084.0484242194427,1301.1059358224838
BCH-3,1054.2106105651708,1695.4686485194861,104.71893792522253,384.9649231696893,1724.6666648295554
EE-1,473.2567130236517,1926.0086627869387,1143.4925191050309,765.3667089745898,760.779036682073
MG-1(SP-1),1063.267424673672,1470.946805337944,1024.935717185093,953.3886176906218,1269.4965104244538
MG-2(SP-2),790.687970878848,885.9952398762642,623.5332978821174,1805.6245750431842,1203.5099314512088
MGI-1,100.5586806663333,454.62748904579365,319.9587518828037,301.6012241476176,349.8123687485703
MGI-2,54.635434092908,310.42835365861106,237.20057430429767,184.14557083923845,562.9817591245229
