Name,S1,S2
Normal stress,0.05115928152836133,0.09396756775340895
Coulomb shear stress,0.05188810845970231,0.0937572390225196
Dilation,0.05236341026709443,0.10573407163505878
Faulting,0.06068119395902257,0.12039742330665591
Fault dilation tendency,0.1441949553477684,4.90855846258018e-17
Fault slip tendency,0.10182271106541205,4.90855846258018e-17
Fault curvature,0.1284330025223386,4.90855846258018e-17
Temperature,0.0345067254578266,4.90855846258018e-17
Fault density,0.07033532598214697,0.11844826636554924
Fault intersection density,0.06218028562842941,0.09388961819503978
Inverse distance from contacts,0.02841275275428936,0.054140613830093366
Inverse distance from faults,0.10063812600453995,0.11045231576788068
Unit thickness,0.08132842375906134,0.1393511250852854
Lithology,0.032055697264006616,0.06986175903850819
