Name,S1,S2,S3,S4,Signal
Normal stress,0.7534126094857766,0.09096898383016941,0.1728623579765201,0.29536070505408174,A
Coulomb shear stress,0.7382618955173423,0.09626500024975466,0.1590118675274964,0.3269818313258012,A
Dilation,0.5838349552357485,0.07599107616323932,0.4836305574197191,0.249624925431982,A
Faulting,0.5182971432429255,0.094092568331874,0.6376481759713588,0.33713194828672094,A
Fault dilation tendency,5.215116207303084e-16,1.0,3.8260630801848296e-16,3.647351020546614e-16,B
Fault slip tendency,5.215116207303084e-16,0.7061461395777445,3.8260630801848296e-16,3.647351020546614e-16,B
Fault curvature,5.215116207303084e-16,0.8906899843519813,3.8260630801848296e-16,3.647351020546614e-16,B
Temperature,5.215116207303084e-16,0.23930605182825893,3.8260630801848296e-16,3.647351020546614e-16,B
Fault density,0.011611041428238315,0.18176734695682922,1.0,0.39674876442559537,C
Fault intersection density,0.2610803577402069,0.18321756677168066,0.7358326621084444,0.11335348232490572,C
Inverse distance from contacts,5.6908850663515134e-6,0.057572772487266465,0.60035163050587,0.006679588162105302,C
Inverse distance from faults,0.6430209142530955,0.3934977916589435,0.4174195483820557,0.3398883326572106,A
Unit thickness,1.0,0.18163365113221094,0.6593889529681602,0.050588053390493624,A
Lithology,0.0009357734660680819,0.00893864633993483,0.017916595066807775,1.0,D
