Name,S1,S2,S3,S4,S5
15-12,2.484426448679767e-17,0.05042097266881703,0.024740024360425,3.0106707530237105e-17,0.014069646571819501
17-31,0.04762813927484518,2.899958334703932e-17,2.6350509901933625e-17,1.0729671752213857e-5,0.038334848343487674
18-1,2.484426448679767e-17,2.899958334703932e-17,0.04175677939320165,0.025971903495736845,0.02066473403299367
18-31,1.1134665431606746e-6,1.6897379095569814e-6,0.032417227949734576,1.0155494872988535e-12,0.06090814768084597
18A-1,2.484426448679767e-17,2.899958334703932e-17,0.04442471329687087,0.022388678821919333,0.01891585880851217
18B-31,2.9483692832520253e-13,1.3797057751709955e-8,0.03196002231458734,2.3244832261082396e-9,0.06235250136127552
18D-31,1.0118817521888348e-11,0.015431128647676845,0.029118849719321504,0.017548040974837333,0.04026208436241103
22-13,2.484426448679767e-17,2.899958334703932e-17,0.016823065595136084,2.2236004884385715e-11,0.028127826139249308
26-12,0.017037476098350688,0.026938999053968394,2.6350509901933625e-17,0.011892067475972632,0.03208390835980272
27-1,0.012426440236224365,0.035918257586639656,0.03379161376833666,3.0106707530237105e-17,2.2601739897823566e-17
27A-1,0.012426406914865264,0.03591832258093402,0.03379157720086213,3.0106707530237105e-17,2.2601739897823566e-17
46-1,2.484426448679767e-17,2.899958334703932e-17,2.6350509901933625e-17,8.299075102029164e-12,0.09040192072965274
46A-1,2.484426448679767e-17,9.659881183978874e-10,2.6350509901933625e-17,9.228822536320195e-14,0.09255701152868762
47A-1,0.04875705943163329,2.899958334703932e-17,2.6350509901933625e-17,3.0106707530237105e-17,0.03805165236421202
47C-1,0.0003916076883621489,0.04949499478547333,2.6350509901933625e-17,3.0106707530237105e-17,0.04746044864470038
48A-1,0.021528026687683235,0.10931775684996511,2.6350509901933625e-17,3.0106707530237105e-17,7.882373584916454e-7
55-1,0.03975678478711624,0.006284854272822558,0.020008726615252038,0.027583193695543805,0.02391142652259249
56-1,0.05461177180847176,2.8022370356910194e-16,0.006846176994364278,0.0005881034317188222,0.04119252668511137
56A-1,4.7377745445674955e-11,0.050728443269471825,0.024039642622712645,3.0106707530237105e-17,0.03574418480383314
56B-1,0.09723617533617607,1.2793072008142104e-9,2.6350509901933625e-17,3.0106707530237105e-17,1.489216164251952e-6
57-1,0.05238475537704876,0.010733854610020013,9.64582503550907e-12,0.0024760862801342723,0.04372936001987134
64-1,0.018642702942142063,2.899958334703932e-17,0.02857625942655525,0.05914805637366023,2.2601739897823566e-17
68A-1,0.04209174320517464,0.01960344393881872,2.6350509901933625e-17,0.061915939654253696,2.2601739897823566e-17
68B-1,2.484426448679767e-17,0.05172417903827452,0.005343422389483467,0.08812182424006715,2.2601739897823566e-17
77-1,2.484426448679767e-17,2.899958334703932e-17,0.029247743426819173,0.0596638197654803,0.03054915339508869
81-1,3.684230160456091e-15,7.43127061588687e-13,0.009420734289859017,6.2045478677179e-17,0.06921759779743746
81-11,0.03657184978454816,0.04127655642268309,2.6350509901933625e-17,3.0106707530237105e-17,1.0117906160368796e-16
81A-1,9.50021904376599e-13,7.428139638092938e-12,0.008790520638363787,3.0106707530237105e-17,0.06857666997153966
81B-1,2.4040823797568334e-16,0.004066436389210995,0.03408404773968137,0.015555844640298268,0.04128149631480771
82A-11,2.484426448679767e-17,2.899958334703932e-17,0.06716523173790785,3.0106707530237105e-17,2.2601739897823566e-17
82A-11-RD1,2.484426448679767e-17,2.899958334703932e-17,0.06716523173790785,3.0106707530237105e-17,2.2601739897823566e-17
82A-11-RD2,2.484426448679767e-17,2.899958334703932e-17,0.06716523173790785,3.0106707530237105e-17,2.2601739897823566e-17
82A-11-RD3,2.484426448679767e-17,2.899958334703932e-17,0.06716523173790785,3.0106707530237105e-17,2.2601739897823566e-17
88-11,2.484426448679767e-17,3.809776728725645e-17,0.03389822206265333,3.0106707530237105e-17,0.033207241128273855
