Name,S1,S2,S3,S4,S5,S6
15-12,3.0421789478910837e-17,0.09200199683466193,0.035050645868593966,0.005629943493992602,3.709463045503437e-17,9.807668915876083e-16
17-31,0.047874935318141625,1.13653934468522e-12,3.5409470045718996e-17,0.0170312574318226,3.709463045503437e-17,0.02732390610624574
18-1,3.0421789478910837e-17,4.122191278752691e-17,0.036935039911888345,0.019079094083553252,0.04715469485517316,0.008485758600892035
18-31,0.0033918568711579825,7.142705542143187e-6,0.03436538138900733,0.025054027051714122,3.709463045503437e-17,0.0415595710293391
18A-1,3.0421789478910837e-17,4.122191278752691e-17,0.040586768163816775,0.026032644575160198,0.034572424291202844,3.4264473524972136e-17
18B-31,0.0021564555930743846,2.2314837141183759e-7,0.036516765576312414,0.02326599953993604,3.709463045503437e-17,0.04048258110457036
18D-31,4.967899843950338e-12,3.3032914574025275e-5,0.032333421712225086,0.02319678886167189,0.01965458217199644,0.033282993329765774
22-13,3.0421789478910837e-17,4.122191278752691e-17,0.008466635972009634,0.015109998434899422,3.709463045503437e-17,0.0394032835349761
26-12,0.021857222440388367,0.047577047937743866,3.5409470045718996e-17,0.02515717073665624,3.709463045503437e-17,0.021874994824973966
27-1,0.012724443525612274,0.050785728842576316,0.04511918849689769,2.499712438000494e-17,3.709463045503437e-17,3.4264473524972136e-17
27A-1,0.012724440181554691,0.05078578737412367,0.04511914235022974,2.499712438000494e-17,3.709463045503437e-17,3.4264473524972136e-17
46-1,3.0421789478910837e-17,0.019149292213027018,3.5409470045718996e-17,0.06518107815436355,3.709463045503437e-17,0.03753554028935413
46A-1,3.0421789478910837e-17,0.02589812864646987,3.5409470045718996e-17,0.06980225712254216,3.709463045503437e-17,0.03091414708893488
47A-1,0.03136305742661472,4.122191278752691e-17,3.5409470045718996e-17,0.061484245186772535,3.709463045503437e-17,0.0016340880737389504
47C-1,3.0421789478910837e-17,0.05931371667498207,3.5409470045718996e-17,0.06514995023018531,3.709463045503437e-17,0.0016429879945245643
48A-1,0.015281985857053428,0.07679929271527937,3.5409470045718996e-17,0.05974884330232674,3.709463045503437e-17,3.4264473524972136e-17
55-1,0.0342443700762293,0.01480453351502173,0.017691918165358672,0.025805091842614515,0.019472705852378952,0.031200804165594214
56-1,0.046701821634568014,0.014639138679889,3.5409470045718996e-17,0.031991444344595686,3.709463045503437e-17,0.04012321257058524
56A-1,3.0421789478910837e-17,0.06358251946563143,0.032741855448928166,0.046571240540553255,3.709463045503437e-17,3.4264473524972136e-17
56B-1,0.059090432050138204,5.494990360674695e-5,3.5409470045718996e-17,0.05376238037403636,3.709463045503437e-17,3.4264473524972136e-17
57-1,0.0423568349550238,0.027748911318533336,3.5409470045718996e-17,0.03496789970826911,3.709463045503437e-17,0.038607172597731935
64-1,0.046850633515070746,4.122191278752691e-17,0.024569245359006352,2.499712438000494e-17,3.709463045503437e-17,0.041298035124577824
68A-1,0.048985174033801,0.023111566720074122,3.5409470045718996e-17,2.499712438000494e-17,0.05690744193835508,0.025188678364316788
68B-1,1.250566931150079e-12,0.05639327987517851,3.5409470045718996e-17,2.499712438000494e-17,0.09764753909383853,0.044169223870058345
77-1,3.0421789478910837e-17,4.122191278752691e-17,0.01765520956788237,0.03349037484186084,0.07090958487996284,0.026023983493904248
81-1,3.5313978528708225e-11,2.8974372964685195e-5,3.5409470045718996e-17,0.0350675041552839,3.709463045503437e-17,0.050561665411128394
81-11,0.02825104156082544,0.05466004208862226,3.5409470045718996e-17,0.020613450586999763,3.709463045503437e-17,3.4264473524972136e-17
81A-1,1.0787192651296138e-8,1.797854645348315e-5,3.5409470045718996e-17,0.034815410718576655,3.709463045503437e-17,0.05058671861627084
81B-1,1.3539057217323723e-16,0.010442740442383247,0.03668429752278303,0.008707001735824354,0.015827730577225238,0.04020893911774154
82A-11,3.0421789478910837e-17,4.122191278752691e-17,0.07674880688257558,2.499712438000494e-17,3.709463045503437e-17,3.4264473524972136e-17
82A-11-RD1,3.0421789478910837e-17,4.122191278752691e-17,0.07674880688257558,2.499712438000494e-17,3.709463045503437e-17,3.4264473524972136e-17
82A-11-RD2,3.0421789478910837e-17,4.122191278752691e-17,0.07674880688257558,2.499712438000494e-17,3.709463045503437e-17,3.4264473524972136e-17
