Name,S1,S2,S3
Normal stress,4922.668038454491,5875.6809383830605,9295.241796833016
Coulomb shear stress,4595.500112498422,6449.234705805258,8965.852044369814
Dilation,7353.7268737187915,6427.179762108795,8059.162272070945
Faulting,5316.047969883744,3287.9912126661993,7485.413250711654
Fault dilation tendency,3952.450028850082,2280.4494845045265,5133.963648941839
Fault slip tendency,4741.351669806433,2870.2843459841856,6682.598918197118
Fault curvature,1370.8599868078143,764.6527844370806,1516.576295034207
Temperature,11703.774218923645,5777.133962537486,9024.275637444933
Fault density,8582.89561330481,2020.8989959081753,10278.97846115184
Fault intersection density,6732.735379229375,1515.259104162967,2769.995089979454
Distance from faults,1043.3298912867463,4083.0806582787955,1698.62095520152
