Name,S1,S2,S3,S4
Normal stress,4729.914334322868,2345.9755347455466,3724.236218135148,8379.41416998175
Coulomb shear stress,5204.744235826534,2574.686759782239,3580.5995147921108,7819.334226167938
Dilation,4903.36290453012,5367.72145414276,4389.452433869794,6764.30569103315
Faulting,2278.4234556167926,4131.735305546484,2390.2355343231766,6823.519683754674
Fault dilation tendency,1578.7363410649978,3077.238098306301,1701.138079553219,4687.265658579895
Fault slip tendency,1997.1446263302712,3664.8563167866996,2086.530038943517,6132.70863057282
Fault curvature,568.1350550110208,1160.3941959282517,407.8445801141651,1413.9152863298664
Temperature,4078.2645439186176,9460.52272060172,5415.055134453127,7456.479721466949
Fault density,1487.5761405997414,5391.870351963524,4318.282566793402,9263.100569240249
Fault intersection density,1021.7259263534467,1355.058987069328,6094.042319885072,2200.8460374303477
Distance from faults,3488.9731042998637,946.7644873857089,759.8271777323139,1331.9257345535775
