Name,S1,S2,S3,S4,S5
Normal stress,4142.225398728603,5076.264424390636,5072.129609693092,1620.3265869402437,4321.603159003122
Coulomb shear stress,3837.8186505792596,4914.857353747589,5586.064919336974,1510.7866886669935,4429.084343598589
Dilation,5151.1407281531165,2838.625836768991,5462.547954149498,2934.6540129597724,5014.688394286977
Faulting,2506.4689515177397,4122.739558682455,2152.54879260896,2778.4207345263917,5786.062793973824
Fault dilation tendency,1803.1878271005273,2883.738137634172,1506.269306250063,1986.302452240636,4029.2023034331087
Fault slip tendency,2263.7071498239943,3657.391308741617,1902.8465714323524,2426.720536271944,5175.31551664892
Fault curvature,547.6539436509522,605.9381427370662,582.2322166822854,623.0790263417786,1488.9658428604848
Temperature,5882.972240936739,2990.3603807540608,4445.558124075927,5398.915312575161,7800.100413244107
Fault density,4853.246341651875,5019.390834101571,1640.8771355842043,3776.976241933974,5954.744468320211
Fault intersection density,3365.7410748026714,678.1942787247251,1359.2389328136985,4117.141550440469,761.87112976444
Distance from faults,1333.0168810072125,437.3896338916111,3673.066715635861,147.74291488358915,847.656113334379
