Name,S1,S2,S3,S4,S5,S6
Normal stress,3302.2231794433123,3156.627755648568,4343.470974436336,4789.7719732724745,2472.340564671101,1064.0617556676734
Coulomb shear stress,3057.3211592795524,2940.907578670376,4797.834803890526,4671.266391077315,2180.321698884128,1600.8228138572617
Dilation,4246.9255268449215,1202.7202203458141,4890.566885454937,5808.932078075642,2606.2576090456387,2519.455170539943
Faulting,2141.3708764288303,2929.256846740771,1885.3699556194238,3763.824324861503,1801.1440095891696,3258.8553617777447
Fault dilation tendency,1616.0298025276877,1972.0155837857196,1323.7472526137938,2622.9511448396415,1237.7681009219693,2379.405544688972
Fault slip tendency,1991.3342426038248,2560.66184054271,1655.9134508401842,3423.8880267007794,1544.6178422636128,2847.247591491204
Fault curvature,504.701702367174,435.4644461591043,489.12168443374753,934.9238355611471,409.1111321904467,850.1098878805586
Temperature,5079.252465310181,1320.7186921397656,3923.922092191178,6610.037985157961,2724.838571350366,6832.054005767341
Fault density,4581.951737350647,3497.740968480326,1427.1199978314335,5122.030074645885,2285.2138032173857,3026.852848516747
Fault intersection density,4024.5889584229503,216.00029883871338,1139.577831570017,1428.6830033809463,3553.108034783972,138.35070640397328
Distance from faults,1086.9075259150493,332.1470047373766,3339.2722854998333,1136.8369106740195,74.62103181385856,554.5544988256071
