Name,X,Y,S1,S2,Cluster
15-12,327137.93,4.40603467e6,0.889566529874674,1.999507581882622e-15,A
17-31,328813.04,4.40882204e6,2.1022377443375385e-16,0.7726629325070665,B
18-1,327026.54,4.40703217e6,0.8621175917470322,2.496515714005105e-16,A
18-31,328801.97,4.40871725e6,0.35793153345237055,0.5896007950893484,A
18A-1,327056.33,4.40703775e6,0.6664929204359604,0.1405264226028245,A
18B-31,328791.32,4.40871144e6,0.3372511906761821,0.6262131441858146,A
18D-31,328751.91,4.40862911e6,0.46093983842700653,0.49316587889873803,A
22-13,327161.72,4.4051245e6,0.14337092541945246,0.31199407947476226,B
26-12,327300.66,4.40579963e6,2.1022377443375385e-16,0.7160662723200775,B
27-1,327256.49,4.40720478e6,0.41792269637518725,0.3004825078607227,A
27A-1,327256.49,4.40720478e6,0.4179225435327577,0.3004825754196301,A
46-1,327805.01,4.40748476e6,1.8277540502500205e-6,0.8404313753857089,B
46A-1,327774.78,4.40740108e6,6.9681444719155985e-15,0.8524127453549374,B
47A-1,327661.35,4.40729129e6,1.3005675711109398e-14,0.8146858569266754,B
47C-1,327746.25,4.4073085e6,5.123362657362e-10,0.8216090138248187,B
48A-1,327704.9,4.40718065e6,3.913116454296519e-13,0.7525578553030979,B
55-1,328014.47,4.40772054e6,0.3007882683912155,0.718569685505599,B
56-1,327963.43,4.40755491e6,2.700286478555387e-6,0.9504297715470033,B
56A-1,327859.51,4.40755578e6,0.3547728614279852,0.6219168793863032,A
56B-1,327891.35,4.40745289e6,2.1022377443375385e-16,0.8854230921046611,B
57-1,327931.46,4.40741438e6,2.1022377443375385e-16,1.0,B
64-1,328156.6,4.40795433e6,0.26385795379332794,0.5370607484999391,B
68A-1,328229.72,4.40707921e6,0.28200314589391656,0.6643260934466664,B
68B-1,328065.7,4.40706164e6,0.415052060950817,0.6800008437082107,A
77-1,328214.13,4.40718169e6,0.5453518612522638,0.4833859353865499,A
81-1,328567.28,4.40851194e6,0.0025835113507086485,0.8101628320187888,B
81-11,326859.34,4.4069495e6,2.667467688486985e-12,0.6027953475369013,B
81A-1,328598.76,4.40855648e6,3.0921927074091944e-5,0.8021640612575296,B
81B-1,328528.63,4.40843124e6,0.5002406995085139,0.4348376209530917,A
82A-11,326907.12,4.40670723e6,0.634640449959736,2.496515714005105e-16,A
82A-11-RD1,326907.12,4.40670723e6,0.634640449959736,2.496515714005105e-16,A
82A-11-RD2,326907.12,4.40670723e6,0.634640449959736,2.496515714005105e-16,A
82A-11-RD3,326907.12,4.40670723e6,0.634640449959736,2.496515714005105e-16,A
88-11,326889.0,4.40544507e6,0.43827788110896626,0.25596530391891503,A
B1,327745.53,4.40596877e6,2.1022377443375385e-16,0.7000584855833164,B
B2,327721.65,4.40609786e6,4.071635383383656e-14,0.8356301297935822,B
B3,327738.97,4.40619405e6,0.3724417185036925,0.4853763023516722,A
B4,327778.14,4.40639034e6,0.42488753381542516,0.5973218373835203,A
B5,327713.81,4.40629808e6,0.7313996455020256,0.22269366127606746,A
B5A,327754.04,4.40637455e6,0.4212716896198778,0.61240996245899,A
B6,327848.36,4.40636567e6,0.713321020144691,0.22923610826649704,A
B7,327784.51,4.40629935e6,1.0,0.15245224294805837,A
B8,327603.56,4.40643766e6,2.1022377443375385e-16,0.7813503424862211,B
BCH-1,328398.2,4.40887416e6,0.3042349432470138,0.4396034912805829,A
BCH-2,327732.14,4.40800628e6,0.0019089140198607396,0.7900166145956032,B
BCH-3,327126.74,4.40600409e6,0.9115935347828474,7.861432927012954e-12,A
EE-1,327575.0,4.40640489e6,2.1022377443375385e-16,0.7646687546394655,B
MG-1(SP-1),328194.09,4.4071925e6,0.6320349070608341,0.36174573098679363,A
MG-2(SP-2),328128.08,4.4076273e6,0.22070086233167807,0.6010574667457291,B
MGI-1,327853.91,4.40678619e6,0.3215927046449136,0.6965529254594196,B
MGI-2,327994.35,4.40709171e6,0.8373116688545112,0.3629910458075713,A
