Name,S1,S2
15-12,2078.4854850271417,1064.5034374326794
17-31,923.1388135345662,575.1970443066627
18-1,1718.6447407295582,1327.3624433541304
18-31,746.4196844502862,282.06340843313916
18A-1,1460.1463790437524,1497.278254781578
18B-31,973.5738792958402,262.06087447692823
18D-31,898.562108763467,223.29824304528984
22-13,725.2857610438618,1119.1322729755136
26-12,1250.4779278123412,849.2416001872837
27-1,1161.1777715244789,1603.915216805552
27A-1,1161.177770357377,1603.9149676544084
46-1,1432.4433084487564,1208.546497380814
46A-1,1313.576660718167,1320.1325294055373
47A-1,1557.3669704591657,1752.3829768878616
47C-1,1306.4381456719077,1533.4907882668754
48A-1,372.34711952032455,1319.4055974569717
55-1,2735.371427738056,485.03502130124184
56-1,2884.503899973855,1083.74164556786
56A-1,2168.4049600260287,1034.0801385367254
56B-1,797.4915033125677,1062.3525634109158
57-1,2904.2425996731236,1383.865435356172
64-1,1646.5011004126604,1588.7281638547324
68A-1,2114.7646055939313,1730.3022378767123
68B-1,2437.540023005167,1195.3970854062459
77-1,2579.7907980925106,1419.8406275945342
81-1,655.3366105223664,325.01826756952664
81-11,843.4627317072534,869.8860422529784
81A-1,575.7147091111173,331.29633018794465
81B-1,938.6572050042383,129.8217285416787
82A-11,504.5166988635264,1737.775290527508
82A-11-RD1,504.5166988635264,1737.775290527508
82A-11-RD2,504.5166988635264,1737.775290527508
82A-11-RD3,504.5166988635264,1737.775290527508
88-11,1364.2390937127138,1281.8776232042594
B1,1191.9007551482032,1053.108000131563
B2,4.999034640465346e-13,282.07908550239085
B3,435.6339210394048,456.7778493466725
B4,902.7002263747892,345.7623533650399
B5,1401.4250135579491,1223.7212623540577
B5A,1401.6764994098571,458.543898564324
B6,821.1973858380272,283.7033757021447
B7,500.6798852689704,3.7578224211937084
B8,1256.0849560965862,2094.4297256914697
BCH-1,1565.2474252894667,886.3255403622975
BCH-2,1968.9178043063664,1425.5033044628597
BCH-3,2214.342581797441,1006.4714724837079
EE-1,1211.1123820784092,2067.8698488269256
MG-1(SP-1),2011.4629411664525,1772.828000403552
MG-2(SP-2),1798.846793122701,1558.32601345703
MGI-1,571.8801513936519,462.4365644792588
MGI-2,888.4680583939916,84.66885075678039
