Name,X,Y,S1,S2,Cluster
15-12,327137.93,4.40603467e6,0.7156721292019744,0.5082545498542506,B
17-31,328813.04,4.40882204e6,0.3178587125051009,0.2746318185093382,B
18-1,327026.54,4.40703217e6,0.5917703779026566,0.6337584054847701,A
18-31,328801.97,4.40871725e6,0.25701010119963696,0.13467313081608254,B
18A-1,327056.33,4.40703775e6,0.502763226187817,0.7148858882277638,A
18B-31,328791.32,4.40871144e6,0.3352247086401864,0.12512278223630044,B
18D-31,328751.91,4.40862911e6,0.3093963668409111,0.10661529499232475,B
22-13,327161.72,4.4051245e6,0.2497331872776378,0.5343374663029267,A
26-12,327300.66,4.40579963e6,0.4305693773492215,0.40547629255352985,B
27-1,327256.49,4.40720478e6,0.3998212035231392,0.7658004454057413,A
27A-1,327256.49,4.40720478e6,0.3998212031212782,0.7658003264467996,A
46-1,327805.01,4.40748476e6,0.49322439819937214,0.5770289079438156,A
46A-1,327774.78,4.40740108e6,0.4522957761400552,0.6303064329215914,A
47A-1,327661.35,4.40729129e6,0.5362385947490921,0.8366874072651531,A
47C-1,327746.25,4.4073085e6,0.4498378151394615,0.7321758135191659,A
48A-1,327704.9,4.40718065e6,0.12820799459460885,0.6299593542205738,A
55-1,328014.47,4.40772054e6,0.9418536275330186,0.2315833352399107,B
56-1,327963.43,4.40755491e6,0.993203494879701,0.5174399657692338,B
56A-1,327859.51,4.40755578e6,0.7466335492324524,0.49372873477305473,B
56B-1,327891.35,4.40745289e6,0.27459534661543994,0.5072276001335797,A
57-1,327931.46,4.40741438e6,1.0,0.660736150934495,B
64-1,328156.6,4.40795433e6,0.5669296017481379,0.7585492816333184,A
68A-1,328229.72,4.40707921e6,0.7281638957544218,0.8261448052669603,A
68B-1,328065.7,4.40706164e6,0.8393031709126212,0.5707506299890721,B
77-1,328214.13,4.40718169e6,0.8882835057866273,0.677912756001292,B
81-1,328567.28,4.40851194e6,0.22564802630335545,0.15518222625599093,B
81-11,326859.34,4.4069495e6,0.29042433707231835,0.4153331246126141,A
81A-1,328598.76,4.40855648e6,0.19823230648015241,0.15817973079930775,B
81B-1,328528.63,4.40843124e6,0.32320206483779473,0.06198428476697563,B
82A-11,326907.12,4.40670723e6,0.17371713331396987,0.8297128660899743,A
82A-11-RD1,326907.12,4.40670723e6,0.17371713331396987,0.8297128660899743,A
82A-11-RD2,326907.12,4.40670723e6,0.17371713331396987,0.8297128660899743,A
82A-11-RD3,326907.12,4.40670723e6,0.17371713331396987,0.8297128660899743,A
88-11,326889.0,4.40544507e6,0.46974006023679316,0.6120413626105556,A
B1,327745.53,4.40596877e6,0.41039985959931624,0.5028137192733371,A
B2,327721.65,4.40609786e6,1.721286865301127e-16,0.13468061594153669,A
B3,327738.97,4.40619405e6,0.14999914989485932,0.21809175249165672,A
B4,327778.14,4.40639034e6,0.3108212194382072,0.16508663390502992,B
B5,327713.81,4.40629808e6,0.4825440594100787,0.5842742047361125,A
B5A,327754.04,4.40637455e6,0.4826306519874124,0.21893496494036682,B
B6,327848.36,4.40636567e6,0.2827578474093225,0.13545614456387686,B
B7,327784.51,4.40629935e6,0.1723960268764471,0.00179419838015958,B
B8,327603.56,4.40643766e6,0.4325000109281367,1.0,A
BCH-1,328398.2,4.40887416e6,0.5389520233143187,0.42318227701322364,B
BCH-2,327732.14,4.40800628e6,0.6779453632861011,0.6806164403497634,B
BCH-3,327126.74,4.40600409e6,0.7624509681273418,0.48054678566568965,B
EE-1,327575.0,4.40640489e6,0.41701488099331696,0.9873188025653258,A
MG-1(SP-1),328194.09,4.4071925e6,0.692594668707375,0.8464490255543228,A
MG-2(SP-2),328128.08,4.4076273e6,0.6193858575468743,0.7440335640493039,A
MGI-1,327853.91,4.40678619e6,0.19691197679491987,0.22079354528192,A
MGI-2,327994.35,4.40709171e6,0.30592074453215096,0.04042573007734944,B
