Name,X,Y,S1,S2,S3,Cluster
15-12,327137.93,4.40603467e6,0.516917641888098,0.2770526438739264,0.8492152225194226,A
17-31,328813.04,4.40882204e6,0.23143935671810834,0.18752862198310863,0.37173031120051475,A
18-1,327026.54,4.40703217e6,0.5104347928823116,0.4653993576126238,0.6544205304907456,A
18-31,328801.97,4.40871725e6,0.12469677151890167,0.13042169604889634,0.28158480640681544,A
18A-1,327056.33,4.40703775e6,0.582756665174838,0.4649284245107308,0.5537640963600946,A
18B-31,328791.32,4.40871144e6,0.11907783219920709,0.14679166468670415,0.37140569292467734,A
18D-31,328751.91,4.40862911e6,0.13488791515308735,0.11040609329660044,0.3341005694918602,A
22-13,327161.72,4.4051245e6,0.5013337229461595,0.20835601081277175,0.29979330819468775,C
26-12,327300.66,4.40579963e6,0.2845597369721349,0.37963155635703055,0.45783736164868316,A
27-1,327256.49,4.40720478e6,0.6837818130241097,0.3791829314284138,0.4500283474466569,C
27A-1,327256.49,4.40720478e6,0.6836272383342794,0.3793367668882475,0.450028347407444,C
46-1,327805.01,4.40748476e6,0.41484129798367225,0.49991053087540277,0.5112058812147973,B
46A-1,327774.78,4.40740108e6,0.4673928871676016,0.5089645329890227,0.4575661680703045,B
47A-1,327661.35,4.40729129e6,0.563995550280979,0.7331378063576961,0.5176187319778757,B
47C-1,327746.25,4.4073085e6,0.49959934583362814,0.6228215589578578,0.43649736093156255,B
48A-1,327704.9,4.40718065e6,0.4091584379284029,0.4294273438484442,0.12149963809820132,B
55-1,328014.47,4.40772054e6,0.09622758060996243,0.6669569414469446,0.9099086446399185,A
56-1,327963.43,4.40755491e6,0.31320757107950814,0.7762863673263327,1.0,A
56A-1,327859.51,4.40755578e6,0.3052362765415526,0.6329052074884586,0.7590736327117833,A
56B-1,327891.35,4.40745289e6,0.3706518436065888,0.38027619780063904,0.2730314906238322,B
57-1,327931.46,4.40741438e6,0.4362338745514932,0.8667158035625725,0.9782538501129452,A
64-1,328156.6,4.40795433e6,0.3201717326064411,0.9448565663639642,0.5076084140705586,B
68A-1,328229.72,4.40707921e6,0.46476978820774545,0.9663801639505157,0.6626617376696993,B
68B-1,328065.7,4.40706164e6,0.1940227376504394,1.0,0.7545773092481692,B
77-1,328214.13,4.40718169e6,0.364899327512578,0.9622266598161437,0.8209340552044261,B
81-1,328567.28,4.40851194e6,0.12888600612044665,0.13188811166493578,0.25406322208489146,A
81-11,326859.34,4.4069495e6,0.46624246339227754,0.1108375787326993,0.3456384293815148,C
81A-1,328598.76,4.40855648e6,0.13116697941734412,0.12480189946340889,0.2230783542334037,A
81B-1,328528.63,4.40843124e6,0.06897249558577585,0.11836955886282144,0.35583224165967686,A
82A-11,326907.12,4.40670723e6,1.0,0.0448044963904645,0.21695779428454864,C
82A-11-RD1,326907.12,4.40670723e6,0.9998698353168715,0.04493416135764182,0.21695779428454887,C
82A-11-RD2,326907.12,4.40670723e6,0.9999624818074938,0.04484187054667113,0.2169577942845486,C
82A-11-RD3,326907.12,4.40670723e6,0.9999910624970728,0.044813399581374126,0.21695779428454934,C
88-11,326889.0,4.40544507e6,0.5741405399264635,0.2872111409073231,0.5577800797714155,A
B1,327745.53,4.40596877e6,0.3522595020433691,0.3981142515904586,0.45680053198832066,A
B2,327721.65,4.40609786e6,0.0679683317149573,0.0966476962425751,1.6646554873925092e-16,B
B3,327738.97,4.40619405e6,0.10471142472602295,0.2488542687087909,0.13629778825801617,B
B4,327778.14,4.40639034e6,0.0625454255498556,0.3156108797835647,0.2855853095793683,B
B5,327713.81,4.40629808e6,0.39347982041431584,0.6039278849100661,0.43605724844366517,B
B5A,327754.04,4.40637455e6,0.08771196858224478,0.45570506439817526,0.44188165977695804,A
B6,327848.36,4.40636567e6,0.07249845628195009,0.2561949688473724,0.257684334819934,A
B7,327784.51,4.40629935e6,2.5908833201054557e-6,0.1045259685028992,0.15474780917551176,A
B8,327603.56,4.40643766e6,0.5139946221552869,0.960837508378858,0.3916708410772533,B
BCH-1,328398.2,4.40887416e6,0.32711981299237053,0.3725524314083826,0.5964937642665452,A
BCH-2,327732.14,4.40800628e6,0.3740362568256902,0.8001553150701464,0.6577906180238586,B
BCH-3,327126.74,4.40600409e6,0.4966586496117211,0.2839747843747028,0.8971012200756864,A
EE-1,327575.0,4.40640489e6,0.49025474075253334,0.9562612345118264,0.3806776542203826,B
MG-1(SP-1),328194.09,4.4071925e6,0.41029532151777615,0.9978736911100904,0.6523338057133249,B
MG-2(SP-2),328128.08,4.4076273e6,0.4071254649617931,0.8218939678953904,0.5953606033240327,B
MGI-1,327853.91,4.40678619e6,0.06030410550831766,0.32931094995110755,0.17426212897215812,B
MGI-2,327994.35,4.40709171e6,0.007207015169539564,0.21669893791847755,0.28037031601703755,A
