Name,X,Y,S1,S2,S3,S4,S5,S6,Cluster
15-12,327137.93,4.40603467e6,0.8798540193789767,0.5975243871102649,2.88922820434788e-16,4.2967035086555556e-16,5.210625093953699e-16,0.4648095596987616,C
17-31,328813.04,4.40882204e6,4.643566199351129e-11,6.089933246187557e-16,0.10260036075018128,0.8086581712660774,0.5356628469956968,4.3958847664929017e-16,B
18-1,327026.54,4.40703217e6,4.604461086407843e-16,1.0,2.88922820434788e-16,4.2967035086555556e-16,0.19490861696335718,0.7690826221250154,A
18-31,328801.97,4.40871725e6,0.005446494506512183,6.089933246187557e-16,0.05995583875461989,0.18094281678542856,0.8356502302082546,0.49884401803127115,D
18A-1,327056.33,4.40703775e6,4.604461086407843e-16,0.5544831001226548,0.22768778952787486,4.2967035086555556e-16,5.210625093953699e-16,0.697512678819757,A
18B-31,328791.32,4.40871144e6,0.00013182277741076033,6.089933246187557e-16,0.01645975947408692,0.18579063333250284,0.8224685369198256,0.5410561833584315,D
18D-31,328751.91,4.40862911e6,0.006647884744941618,0.3049099733407051,0.27133677915167037,0.005210531539231894,0.6399628752285922,0.452592053076606,A
22-13,327161.72,4.4051245e6,0.1279602991708852,6.089933246187557e-16,0.08572406925473187,4.2967035086555556e-16,0.9630451873762903,4.3958847664929017e-16,D
26-12,327300.66,4.40579963e6,0.636137682397607,6.089933246187557e-16,0.013283373232013547,0.4534429342590034,0.4928154546260126,4.3958847664929017e-16,C
27-1,327256.49,4.40720478e6,0.6765945870939791,6.089933246187557e-16,2.88922820434788e-16,4.2967035086555556e-16,5.210625093953699e-16,0.7956210300746722,C
27A-1,327256.49,4.40720478e6,0.6765949431200095,6.089933246187557e-16,2.88922820434788e-16,4.2967035086555556e-16,5.210625093953699e-16,0.7956211238565317,C
46-1,327805.01,4.40748476e6,0.45618713942655836,6.089933246187557e-16,0.4085995279568079,4.2967035086555556e-16,0.8525582770452078,4.3958847664929017e-16,E
46A-1,327774.78,4.40740108e6,0.49811892951445336,6.089933246187557e-16,0.4498002324080407,4.2967035086555556e-16,0.7655431498767452,4.3958847664929017e-16,E
