Name,S1,S2
15-12,1842.3046747629826,1436.1896108602662
17-31,831.6484674639321,789.5696647372197
18-1,1402.4273555748725,1779.4384162722313
18-31,590.3148165119592,554.5723129938002
18A-1,1182.6277542216471,1887.3257615959685
18B-31,789.8636011758769,587.376893440216
18D-31,680.8033285711733,593.0963904393002
22-13,672.1706523493606,1614.317226771762
26-12,1007.7610273789489,1176.2425330156339
27-1,948.9312206289583,2079.500158015331
27A-1,948.9312206289583,2079.50100921512
46-1,1134.7592599663417,1739.653966066318
46A-1,1017.0895788756625,1829.7509413760413
47A-1,1171.4292807919428,2424.0589598840775
47C-1,991.8643491225971,2088.490921060653
48A-1,271.2572905390325,1569.9819647661002
55-1,2172.122816439797,1211.2694702850615
56-1,2278.727555567023,2025.8597580145465
56A-1,1713.8647052400606,1753.2791321849788
56B-1,611.9849876240728,1401.3911744171944
57-1,2169.533495799883,2506.3917099481014
64-1,1204.7734909934206,2097.1821050971425
68A-1,1555.1132759880745,2232.8570454973546
68B-1,1755.6413740269988,1850.2804762688563
77-1,1890.8821527740122,2148.5407947221174
81-1,525.8838850981142,578.4696675384173
81-11,789.9228181639664,995.0447000247893
81A-1,463.1023764361111,552.2139511346606
81B-1,721.885875791087,480.0305812455578
82A-11,472.424166601262,1812.6601191163493
82A-11-RD1,472.424166601262,1812.6601191163493
82A-11-RD2,472.424166601262,1812.6601191163493
82A-11-RD3,472.424166601262,1812.6601191163493
88-11,1239.8919982659618,1564.351250461713
B1,1077.3991493652152,1285.3587997772815
B2,4.800338174702765e-13,271.5478909111076
B3,308.1238173555099,555.3788549280329
B4,655.8362143628608,589.2987079640088
B5,1009.1657357395868,1525.7427967004535
B5A,1009.1228875692232,857.0708610289056
B6,592.8909065251328,521.8911760358303
B7,356.72433754344297,148.2491624139078
B8,920.9617802684436,2346.8545545294633
BCH-1,1349.769195129515,1272.0380568103683
BCH-2,1529.7364266893564,1845.9217574538407
BCH-3,1988.6566690628501,1391.536953161612
EE-1,887.3072965218015,2332.355478325479
MG-1(SP-1),1497.8326245168141,2342.082420139595
MG-2(SP-2),1425.8062116986493,2196.754080012518
MGI-1,415.0137723769484,624.8640280027137
MGI-2,671.2297506863015,322.4393099160649
