Name,X,Y,S1,S2,S3,S4,S5,S6,Cluster
15-12,327137.93,4.40603467e6,3.164381114602115e-16,0.0396855340380505,4.949558583752206e-16,0.8348294018243821,0.02604641816099619,0.5394416783535471,B
17-31,328813.04,4.40882204e6,0.6766780945677382,0.5746046844287893,0.4961617361573671,4.896670914107751e-16,7.146283841848937e-17,5.255333086333424e-10,A
18-1,327026.54,4.40703217e6,3.164381114602115e-16,0.728549526544705,0.13545238442110488,1.0,0.043036784623119204,2.2060441541075866e-16,E
18-31,328801.97,4.40871725e6,0.017830806256108715,0.9016575559434492,0.821036574795862,0.37568253962279885,2.227420955563842e-14,0.0003345958306667251,C
18A-1,327056.33,4.40703775e6,3.164381114602115e-16,0.8216942279488761,4.949558583752206e-16,0.9178832508991142,0.04689907981112912,2.2060441541075866e-16,E
18B-31,328791.32,4.40871144e6,0.002523315971087782,0.8817327101503444,0.7927573813583543,0.4129104112179758,3.0767179033013013e-15,5.589151944658108e-5,C
18D-31,328751.91,4.40862911e6,0.002229965784532208,1.0,0.5905259841538754,0.5589703409064675,0.004103001082875472,0.002011004852593612,C
22-13,327161.72,4.4051245e6,3.164381114602115e-16,0.9126876760433408,0.44633324955667647,4.896670914107751e-16,0.011461458646854814,0.08977407677196497,D
26-12,327300.66,4.40579963e6,0.19443919554624062,0.3601476575231321,0.510491626123802,4.896670914107751e-16,0.00680892624863722,0.39983040662842634,D
27-1,327256.49,4.40720478e6,3.164381114602115e-16,0.7486358371268229,4.949558583752206e-16,0.4112826954738586,7.146283841848937e-17,0.40957873626624625,B
27A-1,327256.49,4.40720478e6,3.164381114602115e-16,0.7486358879881886,4.949558583752206e-16,0.4112827829249649,7.146283841848937e-17,0.40957910198403336,B
46-1,327805.01,4.40748476e6,3.164381114602115e-16,0.8900948736404702,0.6976209798490871,4.896670914107751e-16,0.06509699886322842,0.26727418549875304,D
46A-1,327774.78,4.40740108e6,3.164381114602115e-16,0.9343573967283983,0.5971367052549014,4.896670914107751e-16,0.06122176595895023,0.3048930578314936,D
47A-1,327661.35,4.40729129e6,0.6834163595561754,0.8812802116209233,4.949558583752206e-16,4.896670914107751e-16,0.055871969091653456,0.07678039709628848,A
47C-1,327746.25,4.4073085e6,3.164381114602115e-16,0.9930822200645884,0.08890076791880133,4.896670914107751e-16,0.05010484879840554,0.49850051216620384,B
48A-1,327704.9,4.40718065e6,0.014654879985218316,0.6124878874396191,4.949558583752206e-16,4.896670914107751e-16,7.372542869692085e-15,1.0,B
55-1,328014.47,4.40772054e6,0.7362215260434914,0.25582798070686175,0.632727695028757,0.5275921574697436,0.06402667937893737,2.2060441541075866e-16,A
56-1,327963.43,4.40755491e6,0.8630125503039565,0.5026867502022582,0.7659598160484029,1.6000589935097802e-6,0.04964112184905846,2.2060441541075866e-16,A
56A-1,327859.51,4.40755578e6,3.164381114602115e-16,0.7447502674561237,4.949558583752206e-16,0.5050737569877964,0.06346845372778159,0.49257020504460935,B
56B-1,327891.35,4.40745289e6,1.0,0.8272791204552005,4.949558583752206e-16,4.896670914107751e-16,7.146283841848937e-17,0.1081960384055777,A
57-1,327931.46,4.40741438e6,0.6628443413552937,0.6926687018384597,0.6999257817133708,4.896670914107751e-16,0.04849941570556246,0.141016158446446,A
64-1,328156.6,4.40795433e6,0.23042408285169094,0.7621098502739352,0.9316570510561129,0.2262285271988029,7.146283841848937e-17,2.2060441541075866e-16,C
68A-1,328229.72,4.40707921e6,0.5445647621427147,0.46096472245735376,0.4575168442640691,0.4043111386742141,7.146283841848937e-17,0.19600162659286963,A
68B-1,328065.7,4.40706164e6,3.164381114602115e-16,0.4257873046769782,0.9239911418330947,0.5538834991431222,7.146283841848937e-17,0.4307991201608261,D
77-1,328214.13,4.40718169e6,3.164381114602115e-16,0.6350965759508437,0.7102798588504147,0.9338025276363138,0.06045165727057314,2.2060441541075866e-16,C
81-1,328567.28,4.40851194e6,0.00869779325305395,0.6724608684460716,0.941547890197556,4.896670914107751e-16,1.736625718609159e-14,0.17231571445887708,D
81-11,326859.34,4.4069495e6,0.20484790230346753,0.6339580438857243,4.949558583752206e-16,4.896670914107751e-16,7.146283841848937e-17,0.37906458481496724,B
81A-1,328598.76,4.40855648e6,0.007825186249269468,0.6467433589473957,0.9457584622563837,4.896670914107751e-16,1.932244008291332e-14,0.1731105655189337,D
81B-1,328528.63,4.40843124e6,0.10252823614766245,0.7275684633521509,0.6880257182273081,0.6136481063727267,0.00013508910984827514,0.002232558168662231,C
82A-11,326907.12,4.40670723e6,3.164381114602115e-16,0.7741008331198773,4.949558583752206e-16,0.7757058569296792,7.146283841848937e-17,2.2060441541075866e-16,E
82A-11-RD1,326907.12,4.40670723e6,3.164381114602115e-16,0.7741008331198773,4.949558583752206e-16,0.7757058569296792,7.146283841848937e-17,2.2060441541075866e-16,E
