Name,S1,S2,S3,S4,S5
15-12,1.881503370246737e-17,0.02852360214887181,1.7662823196235856e-17,0.02730569632167252,0.07098670402901595
17-31,0.034015645594090274,2.3599047178606866e-17,0.029714830807637267,3.079074019917465e-17,0.00025194232385390193
18-1,1.881503370246737e-17,0.051120679118956895,1.7662823196235856e-17,0.08973445706257326,2.5132017937998077e-17
18-31,0.04279146962576415,0.03369138614032602,0.0009014926228674623,3.079074019917465e-17,0.0008632936041964467
18A-1,1.881503370246737e-17,0.04335372788122951,0.017129835484543082,0.04872037647828115,2.5132017937998077e-17
18B-31,0.040977298384906095,0.03600578512731729,3.7098917808690556e-5,3.079074019917465e-17,0.0001791589229701447
18D-31,0.03210201244279407,0.03254261107684848,0.007515882371970287,0.023189531780223985,0.004624773590784084
22-13,0.021930471322153887,0.017370416992645174,0.008769885142702352,3.079074019917465e-17,0.012396031451867327
26-12,0.030754525227427654,2.3599047178606866e-17,5.61566057502706e-5,3.079074019917465e-17,0.05609963374038024
27-1,1.881503370246737e-17,0.05111159767160855,1.5387954430286893e-5,3.079074019917465e-17,0.05117355657513918
27A-1,1.881503370246737e-17,0.05111161031496759,1.5387589719207135e-5,3.079074019917465e-17,0.05117359400168188
46-1,0.030946857686202027,1.825452004768699e-9,0.024819461636964413,3.079074019917465e-17,0.03920469162182776
46A-1,0.02777901713066132,2.3599047178606866e-17,0.026172470923884913,3.079074019917465e-17,0.043236067250782155
47A-1,0.012737451969653955,2.3599047178606866e-17,0.05624940781492301,3.079074019917465e-17,0.012475499328309096
47C-1,8.789962335835532e-11,2.3599047178606866e-17,0.05001539807879614,3.079074019917465e-17,0.05373683285750272
48A-1,1.881503370246737e-17,2.3599047178606866e-17,0.07048744391579125,3.079074019917465e-17,0.022832448764237602
55-1,0.025563798050972784,0.01803037501028615,0.041067251109882776,0.022910532112834864,1.2417115120368927e-9
56-1,0.03317032183901481,0.003102572045025897,0.047513693542547496,0.01161412226198299,8.553668072380813e-11
56A-1,1.881503370246737e-17,0.03328622058902733,0.038653663492496854,3.079074019917465e-17,0.044749551604917365
56B-1,0.007128869522090468,2.3599047178606866e-17,0.0819364893204155,3.079074019917465e-17,3.6551566359162903e-6
57-1,0.033720420052854375,2.3599047178606866e-17,0.04704920343928803,3.079074019917465e-17,0.01879155500544329
64-1,0.048832033444291614,0.02438984167077669,1.7662823196235856e-17,3.079074019917465e-17,2.5132017937998077e-17
68A-1,0.04133168936903068,2.3599047178606866e-17,0.0006128642191971951,0.03878506940665544,0.035149898848236855
68B-1,0.03851451720087508,0.002845050597637592,1.7662823196235856e-17,0.05089296409696029,0.04995328632302374
77-1,0.018711306217879375,0.023310924410826626,0.024169274882229842,0.06414782287801665,2.5132017937998077e-17
81-1,0.05352362067890603,0.0001602745582814427,0.0011891748238663487,3.079074019917465e-17,0.015610743872701893
81-11,1.881503370246737e-17,2.3599047178606866e-17,0.037823826367068596,3.079074019917465e-17,0.04318169890145874
