Name,S1,S2
Normal stress,12767.047141535702,7828.608847241186
Coulomb shear stress,12102.271770631987,8411.419124989607
Dilation,13660.056369571834,8497.358754966253
Faulting,15029.12455099807,10649.922464624688
Fault dilation tendency,11041.182846778493,5205.789499349692
Fault slip tendency,7875.045238325658,3589.410337335221
Fault curvature,9933.886840874831,4571.10681248232
Temperature,2490.631895757571,1190.584346460914
Fault density,17848.40548938117,8710.553746802365
Fault intersection density,16646.592646274396,4426.931248338767
Inverse distance from faults,21409.190043381648,11362.148783859817
