Name,S1,S2,S3,S4
Normal stress,2805.340140815844,4857.639561529469,3052.136937299198,9411.099541991069
Coulomb shear stress,2223.2750183031126,5455.695205391482,3145.575185925445,9060.604114418626
Dilation,1101.422041259752,5608.803256402287,6362.455253317356,8765.746365467205
Faulting,74.41650468155277,7553.914706563172,8514.103226541369,9016.384417181136
Fault dilation tendency,3137.677024267118,2287.633692323853,4561.630150631602,6078.521840768077
Fault slip tendency,2084.151901276446,1585.0741865676707,3422.0657771112046,4271.016097866826
Fault curvature,2781.197109355894,1993.615338527996,4032.130141699991,5534.876150118844
Temperature,589.2388612350248,557.7734862043246,1177.0624934942955,1341.8730609594222
Fault density,626.5909764089199,5069.401192293813,11460.649904159787,9349.0290922829
Fault intersection density,2190.6374015313418,1698.3783130227278,7195.891932897215,10073.463313485076
Inverse distance from faults,3568.3252370444366,6719.302421252545,8568.491876310758,13676.005402645449
