Name,X,Y,S1,S2,S3,S4,Cluster
15-12,327137.93,4.40603467e6,0.7092597342158429,0.40143391211882423,3.198032698151405e-16,0.35209733089030754,A
17-31,328813.04,4.40882204e6,3.7194238467169705e-16,3.1536269437704115e-16,0.7638611161310122,0.2680105662347292,C
18-1,327026.54,4.40703217e6,0.8207522876642772,0.9430250493380464,3.198032698151405e-16,2.1903157866260355e-16,A
18-31,328801.97,4.40871725e6,3.7194238467169705e-16,0.5722830666986453,0.7771748650243304,0.0008642877748064994,C
18A-1,327056.33,4.40703775e6,0.5194455059376004,0.7446980491029829,3.198032698151405e-16,0.17187230536027678,A
18B-31,328791.32,4.40871144e6,3.7194238467169705e-16,0.5887791295754,0.7525465155526825,1.1365184053758497e-6,C
18D-31,328751.91,4.40862911e6,0.3022246315654634,0.5139673900018885,0.6356054059216286,0.1112494052449521,C
22-13,327161.72,4.4051245e6,3.7194238467169705e-16,0.38217555191882935,0.2611198508546014,0.2097525831802695,D
26-12,327300.66,4.40579963e6,3.7194238467169705e-16,3.1536269437704115e-16,0.4616562110561223,0.46480023387778957,B
27-1,327256.49,4.40720478e6,3.7194238467169705e-16,0.5135470681895535,3.198032698151405e-16,0.4515109938840652,D
27A-1,327256.49,4.40720478e6,3.7194238467169705e-16,0.5135473019158348,3.198032698151405e-16,0.45151120305340187,D
46-1,327805.01,4.40748476e6,3.7194238467169705e-16,0.0010272146013401394,0.5845380620286053,0.5290085235935599,B
46A-1,327774.78,4.40740108e6,3.7194238467169705e-16,3.1536269437704115e-16,0.5157539446181656,0.5763858670794924,B
47A-1,327661.35,4.40729129e6,0.2026628256636456,3.1536269437704115e-16,0.48269699035286817,0.5142329279303536,B
47C-1,327746.25,4.4073085e6,3.7194238467169705e-16,3.1536269437704115e-16,7.195145922440722e-7,0.8895247820120354,B
48A-1,327704.9,4.40718065e6,3.7194238467169705e-16,3.1536269437704115e-16,3.198032698151405e-16,1.0,B
55-1,328014.47,4.40772054e6,0.31627209081030094,0.3209365807338955,0.5648899808907766,0.38391770577583934,A
56-1,327963.43,4.40755491e6,0.2605041006391743,0.14183280276630336,0.7589759496309242,0.38216361694310597,C
56A-1,327859.51,4.40755578e6,3.7194238467169705e-16,0.4637085841360928,3.198032698151405e-16,0.7182950696657106,D
56B-1,327891.35,4.40745289e6,3.7194238467169705e-16,3.1536269437704115e-16,0.3484539772408269,0.8263517513835436,B
