Name,X,Y,S1,S2,S3,S4,S5,Cluster
15-12,327137.93,4.40603467e6,3.343343914416915e-16,0.41578285554463035,2.1556724412690872e-16,0.30429443956664076,0.9044534165687171,A
17-31,328813.04,4.40882204e6,0.6044421896361017,3.439986006270148e-16,0.3626568706335023,3.4313173787527104e-16,0.0032100391010516766,B
18-1,327026.54,4.40703217e6,3.343343914416915e-16,0.7451759364236314,2.1556724412690872e-16,1.0,3.2021122547114477e-16,C
18-31,328801.97,4.40871725e6,0.7603844979745816,0.49111261135843615,0.011002334007039817,3.4313173787527104e-16,0.01099936756463916,D
18A-1,327056.33,4.40703775e6,3.343343914416915e-16,0.6319586384244752,0.20906235581507845,0.5429394468203854,3.2021122547114477e-16,C
18B-31,328791.32,4.40871144e6,0.7281475194299323,0.5248491434646692,0.0004527765116176011,3.4313173787527104e-16,0.0022826936706750673,D
18D-31,328751.91,4.40862911e6,0.5704378192374795,0.47436714654027506,0.09172814742622382,0.2584239381317431,0.05892501042634229,D
22-13,327161.72,4.4051245e6,0.38969426786412126,0.2532051015684442,0.10703271784573792,3.4313173787527104e-16,0.15793990088555038,D
26-12,327300.66,4.40579963e6,0.5464935986078926,3.439986006270148e-16,0.000685367486647716,3.4313173787527104e-16,0.7147747750621118,A
27-1,327256.49,4.40720478e6,3.343343914416915e-16,0.745043557978186,0.0001878034384669785,3.4313173787527104e-16,0.6520108056212676,A
27A-1,327256.49,4.40720478e6,3.343343914416915e-16,0.7450437422779073,0.000187798987323382,3.4313173787527104e-16,0.6520112824790802,A
46-1,327805.01,4.40748476e6,0.5499112568792345,2.6609249534509448e-8,0.30291097217879376,3.4313173787527104e-16,0.4995135042245548,A
46A-1,327774.78,4.40740108e6,0.49362020467760487,3.439986006270148e-16,0.3194238750153982,3.4313173787527104e-16,0.5508779324080252,A
47A-1,327661.35,4.40729129e6,0.2263385928579851,3.439986006270148e-16,0.6865000963729083,3.4313173787527104e-16,0.1589524143320944,B
47C-1,327746.25,4.4073085e6,1.5619353942276356e-9,3.439986006270148e-16,0.6104166592152757,3.4313173787527104e-16,0.6846699355654559,A
48A-1,327704.9,4.40718065e6,3.343343914416915e-16,3.439986006270148e-16,0.8602692707536888,3.4313173787527104e-16,0.2909120317095409,B
55-1,328014.47,4.40772054e6,0.45425679270452046,0.26282517787164683,0.5012083316053225,0.2553147682930648,1.58208531416731e-8,B
56-1,327963.43,4.40755491e6,0.5894211799640703,0.04522557346302189,0.5798844194647337,0.12942767630369992,1.0898370924641484e-9,B
56A-1,327859.51,4.40755578e6,3.343343914416915e-16,0.4852065939834902,0.47175152136846327,3.4313173787527104e-16,0.5701614885858323,A
56B-1,327891.35,4.40745289e6,0.12667669327760922,3.439986006270148e-16,1.0,3.4313173787527104e-16,4.657095934609116e-5,B
57-1,327931.46,4.40741438e6,0.5991961691809694,3.439986006270148e-16,0.5742155153279813,3.4313173787527104e-16,0.23942633144884398,B
64-1,328156.6,4.40795433e6,0.8677225054514025,0.3555258541059847,2.1556724412690872e-16,3.4313173787527104e-16,3.2021122547114477e-16,D
68A-1,328229.72,4.40707921e6,0.7344448822666608,3.439986006270148e-16,0.0074797471099911075,0.4322204722274075,0.447850714301904,C
68B-1,328065.7,4.40706164e6,0.6843850440903807,0.04147173472273043,2.1556724412690872e-16,0.5671507441279978,0.6364631391426007,C
77-1,328214.13,4.40718169e6,0.3324912023204859,0.33979869254703804,0.29497571939792355,0.7148627737646572,3.2021122547114477e-16,C
81-1,328567.28,4.40851194e6,0.9510898269127891,0.0023362902471295447,0.014513372902957058,3.4313173787527104e-16,0.19889908714557514,D
81-11,326859.34,4.4069495e6,3.343343914416915e-16,3.439986006270148e-16,0.4616237122285921,3.4313173787527104e-16,0.5501852162160089,A
81A-1,328598.76,4.40855648e6,0.9651758829495499,4.738583251400949e-6,0.01396260634057567,3.4313173787527104e-16,0.1433237799430711,D
81B-1,328528.63,4.40843124e6,0.6279285368211934,0.5007196312285949,0.0028633139273840655,0.2391194162007741,0.04119281660134464,D
82A-11,326907.12,4.40670723e6,3.343343914416915e-16,1.0,2.1556724412690872e-16,3.4313173787527104e-16,3.2021122547114477e-16,E
82A-11-RD1,326907.12,4.40670723e6,3.343343914416915e-16,1.0,2.1556724412690872e-16,3.4313173787527104e-16,3.2021122547114477e-16,E
82A-11-RD2,326907.12,4.40670723e6,3.343343914416915e-16,1.0,2.1556724412690872e-16,3.4313173787527104e-16,3.2021122547114477e-16,E
82A-11-RD3,326907.12,4.40670723e6,3.343343914416915e-16,1.0,2.1556724412690872e-16,3.4313173787527104e-16,3.2021122547114477e-16,E
88-11,326889.0,4.40544507e6,0.08141478712358306,0.4444756996164266,0.24772002983203625,1.796835165854599e-5,0.3109506624388394,A
B1,327745.53,4.40596877e6,3.343343914416915e-16,3.439986006270148e-16,0.6424163824062673,3.4313173787527104e-16,0.3693815196391969,B
B2,327721.65,4.40609786e6,0.5271774972517109,0.00025530995493491506,0.3979896144412625,3.4313173787527104e-16,0.16896200373110212,B
B3,327738.97,4.40619405e6,2.1698381742310427e-11,3.439986006270148e-16,0.6873994466762572,0.5792007296192607,0.0004330323380352428,B
B4,327778.14,4.40639034e6,0.5331483022861393,8.225252526766391e-13,0.2163192371227969,0.6895856571180105,0.19496313288738334,C
B5,327713.81,4.40629808e6,0.38044590168544395,0.47200061171826,2.1556724412690872e-16,0.7501943762189499,3.2021122547114477e-16,C
B5A,327754.04,4.40637455e6,0.5102527569341249,0.0031823628385882798,0.07744135713369316,0.8595427641775666,0.4011267111906448,C
B6,327848.36,4.40636567e6,1.1413137096487486e-11,0.3755657050560902,0.43838975452193296,0.6788957952811249,0.012299682294032608,C
B7,327784.51,4.40629935e6,0.36650477142069693,0.2607867415048098,0.18705993126504838,0.7468543605899219,0.08426664376890769,C
B8,327603.56,4.40643766e6,8.154199895642306e-6,3.439986006270148e-16,0.8169102741756711,3.4313173787527104e-16,3.2021122547114477e-16,B
BCH-1,328398.2,4.40887416e6,0.35401979362001973,0.32934213761324194,2.1556724412690872e-16,3.4313173787527104e-16,0.6889510696070135,A
BCH-2,327732.14,4.40800628e6,0.4273707238541165,3.439986006270148e-16,0.017622880567990593,3.4313173787527104e-16,0.9820039576937547,A
BCH-3,327126.74,4.40600409e6,3.343343914416915e-16,0.3871966066076551,2.1556724412690872e-16,0.2737130622694239,1.0,A
EE-1,327575.0,4.40640489e6,3.343343914416915e-16,3.439986006270148e-16,0.8136716443445342,3.4313173787527104e-16,3.2021122547114477e-16,B
MG-1(SP-1),328194.09,4.4071925e6,0.455209050617344,0.458205093410099,1.3350012314867681e-12,0.9736187720282963,3.2021122547114477e-16,C
MG-2(SP-2),328128.08,4.4076273e6,1.0,0.3302903923069118,2.1556724412690872e-16,3.4313173787527104e-16,3.2021122547114477e-16,D
MGI-1,327853.91,4.40678619e6,0.8560871061101099,1.4894340130729314e-5,0.13859742375434475,0.3421351486450273,0.1444839222306587,D
MGI-2,327994.35,4.40709171e6,0.4756370405311438,0.45583180971170895,0.038041362659798544,0.8064788920240824,0.21426190889819477,C
