Name,X,Y,S1,S2,S3,Cluster
15-12,327137.93,4.40603467e6,0.8254595886048457,0.8435434432413821,0.3029617825158001,A
17-31,328813.04,4.40882204e6,0.2993808586522175,0.37275617451012155,0.2657930572098759,A
18-1,327026.54,4.40703217e6,0.8627636132891774,0.6365651535006189,0.3923743398982203,C
18-31,328801.97,4.40871725e6,0.23387595813187861,0.26237358961896234,0.16091388123145361,A
18A-1,327056.33,4.40703775e6,0.879820852512287,0.5362044202186417,0.405610169431475,C
18B-31,328791.32,4.40871144e6,0.24431098025397519,0.3515535751795206,0.19244247052668226,A
18D-31,328751.91,4.40862911e6,0.30453077957344454,0.3049906829522955,0.12732888107014803,A
22-13,327161.72,4.4051245e6,0.38593290923873896,0.299953292496893,0.7111614581297224,B
26-12,327300.66,4.40579963e6,0.4359019918034457,0.45295271766270273,0.38916213600812494,A
27-1,327256.49,4.40720478e6,1.0,0.43199003215607695,0.3822659248035161,C
27A-1,327256.49,4.40720478e6,0.9999383507069458,0.4319682568159358,0.3823416495791332,C
46-1,327805.01,4.40748476e6,0.5668636753351836,0.4992585279012165,0.5611076666799081,B
46A-1,327774.78,4.40740108e6,0.5506441657728439,0.4459979594527952,0.5973942692773516,B
47A-1,327661.35,4.40729129e6,0.6938268820030434,0.5149359224385022,0.8332057390721326,B
47C-1,327746.25,4.4073085e6,0.6084703746196282,0.43391532370074615,0.6995548933582448,B
48A-1,327704.9,4.40718065e6,0.4468118638512742,0.1190939084492423,0.48518695391454203,B
55-1,328014.47,4.40772054e6,0.29774594293211487,0.9594190769640519,0.657437332187676,A
56-1,327963.43,4.40755491e6,0.5353986769551576,1.0,0.8873377480953608,A
56A-1,327859.51,4.40755578e6,0.5137187796152177,0.7524946829528386,0.6960245999150444,A
56B-1,327891.35,4.40745289e6,0.4439377700325518,0.2675644367656676,0.4172591124929098,B
57-1,327931.46,4.40741438e6,0.739356589824769,0.9499361403485552,0.9268933992909621,A
64-1,328156.6,4.40795433e6,0.330760242639372,0.5306545437507305,1.0,B
68A-1,328229.72,4.40707921e6,0.7306426418063641,0.6887720825927753,0.7482032464073538,B
68B-1,328065.7,4.40706164e6,0.569122110528225,0.7736908648671599,0.6995214129821162,A
77-1,328214.13,4.40718169e6,0.7100930832573981,0.8381522757507505,0.7672882869583768,A
81-1,328567.28,4.40851194e6,0.21107065281502416,0.23369860586704386,0.19797600559434217,A
81-11,326859.34,4.4069495e6,0.5969129267705721,0.35925069003545007,0.11625186653762014,C
81A-1,328598.76,4.40855648e6,0.2002364686981609,0.20615936021816092,0.18603143860238092,A
81B-1,328528.63,4.40843124e6,0.2076233224184741,0.32134042488121684,0.16244867626175477,A
82A-11,326907.12,4.40670723e6,0.7933875139520468,0.21586193259865458,0.32206343729232473,C
82A-11-RD1,326907.12,4.40670723e6,0.7934118337654426,0.21586786044133335,0.32203629258788924,C
82A-11-RD2,326907.12,4.40670723e6,0.7933633102500602,0.21585486739990745,0.3220915139870568,C
82A-11-RD3,326907.12,4.40670723e6,0.7934040057583872,0.21588813196803508,0.3220248304705337,C
88-11,326889.0,4.40544507e6,0.6619634774804509,0.5660536642000499,0.4630750098564221,A
B1,327745.53,4.40596877e6,0.29574249555026766,0.48392910920343213,0.5662198620054983,B
B2,327721.65,4.40609786e6,0.09319216336657929,2.034176242773563e-16,0.06933754910290196,C
B3,327738.97,4.40619405e6,0.19263415900193598,0.13746845626495646,0.17265880460616898,B
B4,327778.14,4.40639034e6,0.20978649789184345,0.2915360290639918,0.21299171214051557,A
B5,327713.81,4.40629808e6,0.5155857042488545,0.4501001913062981,0.47839024009188535,B
B5A,327754.04,4.40637455e6,0.316351112997977,0.4490964735742283,0.30748593328664886,A
B6,327848.36,4.40636567e6,0.19629702621857806,0.26433536243271494,0.18190604800778162,A
B7,327784.51,4.40629935e6,0.06073298509357816,0.15902231429393984,0.06682566379020811,A
B8,327603.56,4.40643766e6,0.7611422276025444,0.41108138792678506,0.7220547132498258,B
BCH-1,328398.2,4.40887416e6,0.4028357539262227,0.6065888386859437,0.5355154630331119,A
BCH-2,327732.14,4.40800628e6,0.5820207708291587,0.681402983520029,0.6948438581813324,A
BCH-3,327126.74,4.40600409e6,0.8090806918444202,0.9106646084349498,0.306600487635407,A
EE-1,327575.0,4.40640489e6,0.8148484162432564,0.3973201867094843,0.6795071938905738,B
MG-1(SP-1),328194.09,4.4071925e6,0.7416931410179506,0.6635244824189819,0.8060389638459736,B
MG-2(SP-2),328128.08,4.4076273e6,0.48419464890810776,0.6261109193288428,0.9495196040359507,B
MGI-1,327853.91,4.40678619e6,0.1764892647954345,0.1833176130445556,0.23177270322141036,B
MGI-2,327994.35,4.40709171e6,0.11576537410795805,0.2954534122462652,0.14370719071433974,A
