Name,S1,S2,S3,S4
15-12,0.047151634733973026,1.670194049268001e-17,0.048933160104603676,1.5570655413310047e-17
17-31,1.735410859929255e-17,0.01966026103410343,2.0801284238666122e-17,0.03668161151525212
18-1,1.735410859929255e-17,1.670194049268001e-17,0.09889673629295971,1.5570655413310047e-17
18-31,1.735410859929255e-17,1.0044295906269506e-5,0.027364319951258712,0.04460127360756342
18A-1,1.735410859929255e-17,0.014147397484838228,0.07271587660967825,1.5570655413310047e-17
18B-31,1.735410859929255e-17,2.7323138619907386e-9,0.030277174388746185,0.041779158336039415
18D-31,1.735410859929255e-17,0.013701909313294978,0.04131797411860263,0.028417204102074448
22-13,1.735410859929255e-17,0.017864263284649608,2.0801284238666122e-17,0.02705398627977547
26-12,0.03495025999320066,0.005719600654983851,2.0801284238666122e-17,0.02828631670314122
27-1,0.016363309711912338,0.02561044369794613,0.03514876175326006,1.5570655413310047e-17
46-1,7.490532231423044e-15,0.04773405169327667,2.0801284238666122e-17,0.025648451728922994
46A-1,0.0017461210527752599,0.05124835386181611,2.0801284238666122e-17,0.02203328639581834
47A-1,1.735410859929255e-17,0.052982338834317924,2.0801284238666122e-17,0.017464973978441472
47C-1,0.0034996726672240214,0.0728440406043997,2.0801284238666122e-17,1.5570655413310047e-17
48A-1,1.735410859929255e-17,0.08208071602813921,2.0801284238666122e-17,1.5570655413310047e-17
55-1,1.735410859929255e-17,0.03498296730308215,0.03084887853972948,0.025585867110334653
56-1,1.735410859929255e-17,0.041795056101413826,0.004169834792974615,0.03551770094737073
56A-1,0.010456632560660102,0.05350626385958446,0.032927337879748296,1.5570655413310047e-17
56B-1,1.735410859929255e-17,0.0691597624876871,2.0801284238666122e-17,0.015147218460239455
57-1,1.735410859929255e-17,0.051027536797971604,2.0801284238666122e-17,0.03325053447951415
64-1,1.735410859929255e-17,1.670194049268001e-17,0.017208704342373354,0.04833012428224497
68A-1,0.03727003810892517,1.670194049268001e-17,2.0801284238666122e-17,0.04194160032817081
68B-1,0.04792845731152202,1.670194049268001e-17,0.015209628366743602,0.03665212661148776
77-1,1.735410859929255e-17,0.022278858939489072,0.058899018805511585,0.016354973007681472
81-1,1.735410859929255e-17,2.363858305808277e-14,2.0801284238666122e-17,0.05300725942296876
81-11,0.007970728593672491,0.05420268072922729,2.0801284238666122e-17,1.5570655413310047e-17
81A-1,1.735410859929255e-17,1.670194049268001e-17,2.0801284238666122e-17,0.05253188820261198
81B-1,1.735410859929255e-17,9.349156030673574e-9,0.04321272001254427,0.0341062482900403
82A-11,1.735410859929255e-17,1.670194049268001e-17,0.06965775652126256,1.5570655413310047e-17
88-11,1.735410859929255e-17,0.02711813423230802,0.045736220952931436,1.5570655413310047e-17
B1,1.735410859929255e-17,0.06516202592900519,2.0801284238666122e-17,1.5570655413310047e-17
B2,1.735410859929255e-17,0.0037620770862532293,2.0801284238666122e-17,0.05149835945509182
B3,0.1050080641905898,0.03475589497951995,2.0801284238666122e-17,1.5570655413310047e-17
B4,0.1061465133173843,1.670194049268001e-17,2.0801284238666122e-17,0.02963649165249989
B5,1.735410859929255e-17,1.670194049268001e-17,0.06738940867331972,0.018459555622269468
B5A,0.07321978617082307,1.670194049268001e-17,0.015662109006259608,0.025987551563502277
B6,0.09192319710019486,0.01859233681655209,0.03164475148363647,1.5570655413310047e-17
B7,0.09570189906932797,0.01941080190047173,0.03163494314759151,0.0022248295226860665
B8,1.735410859929255e-17,0.047851911681058346,2.0801284238666122e-17,0.014037643166807232
BCH-1,0.03969853029033731,1.670194049268001e-17,0.02151444112067648,0.02018652678984264
BCH-2,0.0539463010561998,1.670194049268001e-17,2.0801284238666122e-17,0.02465677231816882
BCH-3,0.0548354361819448,1.670194049268001e-17,0.04302651969772402,1.5570655413310047e-17
EE-1,1.735410859929255e-17,0.051693274978296774,2.0801284238666122e-17,0.010261228985421408
MG-1(SP-1),0.019922671567389076,1.670194049268001e-17,0.05096939700034759,0.02538166064741108
MG-2(SP-2),1.735410859929255e-17,1.670194049268001e-17,0.019330858569643082,0.05279213220706121
MGI-1,0.06615853039709053,3.490754706140592e-15,2.0801284238666122e-17,0.043575326765697434
MGI-2,0.0861022159248458,0.0010969833089101242,0.04630346786787289,0.016910117513846728
