Name,X,Y,S1,S2,S3,S4,S5,S6,Signal
15-12,327137.93,4.40603467e6,0.8890597221205582,2.757265733156195e-16,2.4463664626430933e-16,0.5689188047913462,2.534640549979226e-16,0.0093206046108622,D
17-31,328813.04,4.40882204e6,2.73269646589223e-8,2.757265733156195e-16,0.4998577626674971,3.0629536334043083e-16,0.24545674176068466,0.16548336972321395,A
18-1,327026.54,4.40703217e6,3.1381431866069057e-16,0.4412840759811399,2.4463664626430933e-16,0.8073989384312917,2.534640549979226e-16,0.01605185467788642,F
18-31,328801.97,4.40871725e6,1.1890237411516652e-12,2.757265733156195e-16,0.5374034167149089,0.4671168658635853,0.02912920159484205,0.1595201396454256,A
18A-1,327056.33,4.40703775e6,3.1381431866069057e-16,0.34324253351428996,2.4463664626430933e-16,0.6394207214181667,0.1667731040418683,0.013561772072681645,F
18B-31,328791.32,4.40871144e6,3.1381431866069057e-16,2.757265733156195e-16,0.5117586260099375,0.4851057846553583,1.290859464881487e-7,0.18977255068836824,A
18D-31,328751.91,4.40862911e6,4.634335835103239e-15,0.19668264019631804,3.0155015636189495e-5,0.4865099753936867,0.0545832821616829,0.5086049047678501,E
22-13,327161.72,4.4051245e6,0.08046492106121102,2.757265733156195e-16,2.4463664626430933e-16,0.5108516443629265,0.34342231940726653,4.002317226989619e-17,F
26-12,327300.66,4.40579963e6,0.4664075369945999,2.757265733156195e-16,0.257438598964312,3.0629536334043083e-16,2.534640549979226e-16,0.3561099177353197,E
27-1,327256.49,4.40720478e6,0.44461787017208376,2.757265733156195e-16,2.4463664626430933e-16,0.5272980376001928,0.2942849254907819,4.002317226989619e-17,D
46-1,327805.01,4.40748476e6,3.1381431866069057e-16,2.757265733156195e-16,2.4463664626430933e-16,3.0629536334043083e-16,2.534640549979226e-16,0.9962332956858426,E
46A-1,327774.78,4.40740108e6,3.1381431866069057e-16,2.757265733156195e-16,2.4463664626430933e-16,3.0629536334043083e-16,2.534640549979226e-16,1.0,E
47A-1,327661.35,4.40729129e6,3.1381431866069057e-16,2.757265733156195e-16,0.2250236919508916,3.0629536334043083e-16,0.7889905424394174,0.016561223665061808,B
47C-1,327746.25,4.4073085e6,0.5763196187018164,2.757265733156195e-16,2.4463664626430933e-16,3.0629536334043083e-16,0.8048741706476442,4.002317226989619e-17,B
48A-1,327704.9,4.40718065e6,0.41022075070015845,2.757265733156195e-16,2.4463664626430933e-16,3.0629536334043083e-16,0.9464392757053794,4.002317226989619e-17,B
55-1,328014.47,4.40772054e6,0.10398496931544722,0.1660870611885353,0.4225264214066842,0.33955193147254614,0.3534148312000378,0.023261199860017533,A
56-1,327963.43,4.40755491e6,9.306200437013088e-11,2.757265733156195e-16,0.6828979610011416,0.07497173310295349,0.41944241208407707,0.019297415118923758,A
56A-1,327859.51,4.40755578e6,0.6128256334026129,2.757265733156195e-16,2.4463664626430933e-16,0.47602401366664837,0.4818216542434188,0.017701380445232544,D
56B-1,327891.35,4.40745289e6,6.173751873517865e-5,2.757265733156195e-16,0.20450972913420512,3.0629536334043083e-16,1.0,4.002317226989619e-17,B
57-1,327931.46,4.40741438e6,0.22299734219865094,2.757265733156195e-16,0.6270644767514498,3.0629536334043083e-16,0.4825629968479973,0.015055776153024704,A
64-1,328156.6,4.40795433e6,3.1381431866069057e-16,2.757265733156195e-16,0.6535824594597549,0.4660372139357571,2.534640549979226e-16,4.002317226989619e-17,A
68A-1,328229.72,4.40707921e6,0.2981305481107811,0.6394530893442859,0.48029059633723015,3.0629536334043083e-16,0.0030686982369395976,4.002317226989619e-17,C
68B-1,328065.7,4.40706164e6,0.5769062332104514,0.6603027069384774,0.3668573304414925,0.13937220747121504,2.534640549979226e-16,4.002317226989619e-17,C
77-1,328214.13,4.40718169e6,3.1381431866069057e-16,0.8120293787316466,2.4463664626430933e-16,0.38571610898972414,0.2906896322830729,0.012523303228627946,C
81-1,328567.28,4.40851194e6,3.2946053531454354e-12,2.757265733156195e-16,1.0,3.0629536334043083e-16,2.534640549979226e-16,0.0005975857587995687,A
81-11,326859.34,4.4069495e6,0.47524661846434385,2.757265733156195e-16,2.4463664626430933e-16,3.0629536334043083e-16,0.5941647758763662,4.002317226989619e-17,B
81A-1,328598.76,4.40855648e6,3.753252777977678e-12,2.757265733156195e-16,0.9910728306021946,3.0629536334043083e-16,2.534640549979226e-16,0.0010371468590358315,A
81B-1,328528.63,4.40843124e6,1.775617401925735e-7,0.17255688427430194,0.5078302973949261,0.5332997442837176,1.4311216634365612e-5,0.024611540531386044,A
82A-11,326907.12,4.40670723e6,3.1381431866069057e-16,2.757265733156195e-16,2.4463664626430933e-16,1.0,2.534640549979226e-16,4.002317226989619e-17,F
88-11,326889.0,4.40544507e6,0.21826115178549563,2.757265733156195e-16,2.4463664626430933e-16,0.5974708146724008,0.28084479786516636,0.0074476544365767025,F
B1,327745.53,4.40596877e6,0.3457734987618344,2.757265733156195e-16,2.4463664626430933e-16,3.0629536334043083e-16,0.7637137479160473,4.002317226989619e-17,B
B2,327721.65,4.40609786e6,0.7462626785707255,2.757265733156195e-16,0.0754951296927299,3.0629536334043083e-16,0.690406884128555,0.010196029828682254,B
B3,327738.97,4.40619405e6,0.025564818820511214,0.5565165304285437,2.4463664626430933e-16,3.0629536334043083e-16,0.5766706373005648,4.002317226989619e-17,C
B4,327778.14,4.40639034e6,0.18296501147136185,0.618867469957218,0.01182377557742654,3.0629536334043083e-16,1.188058357856521e-11,0.5278773654484227,E
B5,327713.81,4.40629808e6,3.1381431866069057e-16,0.7974660973529047,2.4463664626430933e-16,0.5874905052634808,2.534640549979226e-16,4.002317226989619e-17,C
B5A,327754.04,4.40637455e6,5.4151608106299524e-12,0.7809354020665541,0.19063017457783615,4.1148585677528245e-10,1.6920229370352053e-14,0.2982875776209457,E
B6,327848.36,4.40636567e6,0.22235590078820788,0.6075931970445198,2.4463664626430933e-16,0.30933896069294947,0.29661451774010056,4.002317226989619e-17,C
B7,327784.51,4.40629935e6,0.2977015418036799,0.6436721162540532,0.07907486603213114,0.32149814434335416,0.1894607615026937,0.010819439880887367,C
B8,327603.56,4.40643766e6,3.1381431866069057e-16,2.757265733156195e-16,0.07844268141797489,3.0629536334043083e-16,0.9159774792767481,4.002317226989619e-17,B
BCH-1,328398.2,4.40887416e6,0.6926905244534369,2.757265733156195e-16,0.26537599477359586,0.40844257439021103,2.534640549979226e-16,4.002317226989619e-17,D
BCH-2,327732.14,4.40800628e6,0.8774358013646293,2.757265733156195e-16,0.4621386994357561,3.0629536334043083e-16,2.534640549979226e-16,4.002317226989619e-17,D
BCH-3,327126.74,4.40600409e6,1.0,2.757265733156195e-16,2.4463664626430933e-16,0.5307065612056049,2.534640549979226e-16,0.007117300912482654,D
EE-1,327575.0,4.40640489e6,3.1381431866069057e-16,2.757265733156195e-16,7.555700390413448e-11,3.0629536334043083e-16,0.9932932684546509,4.002317226989619e-17,B
MG-1(SP-1),328194.09,4.4071925e6,3.1381431866069057e-16,1.0,0.25582392644130175,0.28164572444073654,2.534640549979226e-16,4.002317226989619e-17,C
MG-2(SP-2),328128.08,4.4076273e6,3.1381431866069057e-16,0.07526085843363017,0.7590931776258198,0.37188243182000963,2.534640549979226e-16,4.002317226989619e-17,A
MGI-1,327853.91,4.40678619e6,0.2371360466555321,0.31988161300254747,0.8528353925097131,3.0629536334043083e-16,2.534640549979226e-16,1.063679016979337e-15,A
MGI-2,327994.35,4.40709171e6,0.2807359884048966,0.6903313560454094,0.27976481118364954,0.47210089819102014,0.00021569315922292292,0.005218521250196427,C
