Name,S1,S2,S3,S4
15-12,1264.2892666396447,1631.776866694855,410.6249612931647,645.4183021476877
17-31,575.4413671728969,490.7082100204884,266.24281606624044,574.4609620910882
18-1,985.201361764687,1162.8178296029841,285.92856997188824,1374.5838949535193
18-31,405.7720509949412,352.4930335037157,136.8781272600553,435.09064931402804
18A-1,830.027710245398,1181.4753812282827,304.5463334005871,1355.0599313706546
18B-31,544.3507163668769,380.36500424893586,168.34845259904137,503.827429321309
18D-31,470.17475568981945,446.24213406840175,86.85253010267076,476.3834466327328
22-13,479.0408301492567,467.42836248757146,390.71467196904166,1566.725617544781
26-12,686.0277483387952,817.1551842570066,489.8004073444477,609.5347719238382
27-1,659.4350290638168,1397.7380604085624,334.0670548151732,1256.2923023614298
46-1,761.3927547302521,938.6184180522149,627.9516393848916,998.0492401858183
46A-1,680.0464373416097,912.4242920032814,675.8694124413221,999.3022744899088
47A-1,780.1858864926216,1215.4771173605816,1006.388170998192,1197.4820444999596
47C-1,658.1471362975946,1041.782880765381,826.9921069800165,1052.7814388087722
48A-1,180.30791647043014,716.5496842302796,551.8251141718393,720.7430036478447
55-1,1455.793105543412,781.9444809545586,900.4181736787723,788.0456223333558
56-1,1525.4878255432263,1077.7793204650966,1080.7887994298699,1289.2293633597028
56A-1,1147.4703900141424,996.7683255067603,860.8279630164807,1015.6153687229415
56B-1,409.2714763977943,672.4451620119802,424.39106165167607,804.6824977310849
57-1,1452.2816610494374,1293.2114659092551,1051.9245854600751,1561.041907643513
64-1,815.4695316105524,588.6802617238384,982.1922917391108,1499.6639192644427
68A-1,1049.9471030010131,1238.7758270729882,837.0852619951888,1305.7741250019988
68B-1,1174.1283850906188,1104.327057454187,876.1697953763411,1024.0731094030823
77-1,1276.5199217734676,1265.7225702933104,888.5933600534693,1299.4625668413282
81-1,358.75664632987764,360.2192181783905,219.15652400501696,371.4712137921382
81-11,560.1809129568887,660.9809567781705,16.527302833451316,896.7803287175425
81A-1,316.2618405918362,339.33515265592416,204.84339620483894,347.1269517308997
81B-1,493.87119560063735,356.1954940190993,169.23640122130345,380.3112263609333
82A-11,337.82519521544907,918.2143844810053,139.84005659501827,1286.653486254757
88-11,858.0244843040921,1250.913233368956,638.3944353633323,683.1667304825598
B1,754.7419218499497,454.2142530012478,471.1079529497117,1097.07376029548
B2,3.8949700965722126e-13,131.50120343180112,65.35555271484237,136.61976983841194
B3,210.6579847308031,314.6100273136624,189.32910693385037,312.26323088184483
B4,443.242775908448,400.21696043732084,266.52083060447046,344.9712378886036
B5,684.8969122141219,860.7782967867237,526.7334781019151,874.9746798596376
B5A,684.0392988575796,586.0639369758057,370.40535420601793,542.4268992782173
B6,401.78695215650777,364.51653514020916,221.6079566440416,318.6808625730712
B7,242.2263488917268,133.25984580413183,88.76309707696706,116.688171314399
B8,627.7163546214613,1210.2002881624371,778.4053206870917,1265.298865197392
BCH-1,914.528709430396,949.2208963076414,840.2721948476741,459.22805530884517
BCH-2,1016.5742770351742,1349.598205991275,1089.409254445703,554.5025558672837
BCH-3,1360.97197294627,1641.216759069928,426.2940563921556,633.109359146975
EE-1,606.0565071583915,1275.3167996907507,712.6827438425386,1272.148697977256
MG-1(SP-1),1010.3445384330211,1284.219048284595,925.954612419984,1308.7546320418815
MG-2(SP-2),963.2584036277157,844.2767588997044,1036.8937483830161,1420.887691503296
MGI-1,276.47479317733206,357.30897314347635,309.1135511433141,272.76238376138474
MGI-2,447.3303697763117,268.1742528853589,200.05050169736606,212.20980674802462
