Name,S1,S2,Signal
Normal stress,0.3040989787872662,0.6998771895010347,A
Coulomb shear stress,0.31191494327784486,0.6961926429363278,A
Dilation,0.30450647591409485,0.7887910381154543,A
Faulting,0.3579901884617377,0.8950373499169628,A
Fault dilation tendency,1.0,3.286987525968001e-16,B
Fault slip tendency,0.7061461395777445,3.286987525968001e-16,B
Fault curvature,0.8906899843519805,3.286987525968001e-16,B
Temperature,0.23930605182825893,3.286987525968001e-16,B
Fault density,0.4219008249178386,0.8837934896390635,A
Fault intersection density,0.37903243839076894,0.7005282584157028,A
Inverse distance from faults,0.6645619411818067,1.0,A
