Name,S1,S2,S3,S4,S5,S6
15-12,0.05927145843483583,2.78583162520741e-17,3.343075629575332e-9,0.06855249283470372,9.898786972679756e-9,2.4774738161709492e-17
17-31,3.1526258775819423e-17,0.03178505650751631,3.611796281512068e-17,0.0013860211957313162,0.008787928563067643,0.05049603289004795
18-1,0.05681099648828208,0.00448039584324162,0.09538338791264213,2.8518845850968557e-17,4.45162433686689e-6,2.4774738161709492e-17
18-31,0.04255538481216781,0.04021284885597231,3.611796281512068e-17,0.006455348292126546,0.023370806738212842,0.009644173359800156
18A-1,0.04725807655735201,2.78583162520741e-17,0.05004389080087752,2.8518845850968557e-17,0.026871138037675633,2.4774738161709492e-17
18B-31,0.04515544111216168,0.04107557052209442,3.611796281512068e-17,0.004393411511681514,0.021849571390562022,0.007003147527191001
18D-31,0.03520082001876113,0.033331445612825125,0.02414535675458208,0.0020906402334959625,0.034920916818812,0.0027452037778084837
22-13,0.01645420454769508,0.031329578337453874,3.611796281512068e-17,2.8518845850968557e-17,0.031039304687494818,2.4774738161709492e-17
26-12,3.1526258775819423e-17,0.026994608227185895,3.611796281512068e-17,0.042395726417751814,0.023304595678733706,0.017146735067721443
27-1,0.06472400511848438,2.78583162520741e-17,3.611796281512068e-17,0.030910655644087463,3.717082635953252e-6,0.01739065141844122
46-1,4.096841154276262e-14,0.04065869210869434,3.611796281512068e-17,0.01372932901520462,0.06642034074542053,2.4774738161709492e-17
46A-1,3.1526258775819423e-17,0.03539085450228446,3.611796281512068e-17,0.01923050339922904,0.06887702027784805,2.4774738161709492e-17
47A-1,3.1526258775819423e-17,0.0038055245742862976,2.8310519643343603e-12,0.014586808933866841,0.051668626579971844,0.03504962569301834
47C-1,9.87854126269865e-16,0.008605287796811386,3.611796281512068e-17,0.04278715684137937,0.06810743013435082,1.0875867518125304e-12
48A-1,3.1526258775819423e-17,2.78583162520741e-17,3.611796281512068e-17,0.05844231228565407,0.06723620655636098,0.014290542692899545
55-1,0.0275334561670129,0.02964938615630944,0.01957271847505589,0.012897444255318241,0.02485447959955644,0.03211290798702012
56-1,0.010995664039405818,0.0366720485841214,3.8732397229617853e-16,0.019530102376558625,0.027405630552960473,0.041711498798961584
56A-1,0.0420810493962071,2.78583162520741e-17,3.611796281512068e-17,0.04929683992901377,0.04980086544791904,2.5777015551088127e-14
