Name,S1,S2,S3
Normal stress,3732.3048543037958,5641.026382230459,8965.493631782141
Coulomb shear stress,3932.5621280487185,5895.182110709428,8347.551027506426
Dilation,7612.31618718753,5290.342624142366,7238.386519047183
Faulting,10415.526747825937,5958.690665577156,7107.216171378282
Fault dilation tendency,4664.025037163324,4103.534301363111,6621.991450475135
Fault slip tendency,3462.4410507122097,2802.876815522377,4604.584932540593
Fault curvature,4136.8652611871075,3618.400155581283,5985.067808412322
Temperature,1210.7129010429117,869.9215730568142,1434.413036344458
Fault density,12031.983653548108,4996.891844475717,8350.439472004296
Fault intersection density,7354.0187349567905,3521.357784641696,9204.515905522952
Inverse distance from faults,8579.665454216522,7115.955947981979,10475.79192746384
