Name,S1,S2,S3,S4
Normal stress,5238.153679001553,5066.416736773876,5642.981061120482,3249.6350884210724
Coulomb shear stress,4720.056519104132,5336.359692737478,5571.614137166064,3399.662057705329
Dilation,6584.890106280798,5172.459652164404,2239.1057864460467,6141.262204417386
Faulting,7045.149849945631,5721.6896468993045,1912.2969878098106,8639.476633567017
Fault dilation tendency,3521.6480766078084,3636.0854667640556,4712.2700069481125,4310.714385135418
Fault slip tendency,2523.923004271388,2457.713251864333,3208.8358999583984,3215.289990746156
Fault curvature,3242.0902157302153,3204.532012615623,4189.666495308046,3797.2610609399408
Temperature,816.6502876814932,801.4803073424114,869.8994908129162,1141.588852112853
Fault density,6934.9871351930815,4427.344944580043,3504.0470000776636,10552.654515613429
Fault intersection density,5723.599125769547,2731.2932789236347,5890.872090303681,6362.961934446243
Inverse distance from faults,6820.324967379459,6472.949161648654,6155.160343756407,7448.2434090554925
