Name,S1,S2,Signal
Normal stress,0.5262541177960358,0.806570418437279,B
Coulomb shear stress,0.5502666022895558,0.7767464395078272,B
Dilation,0.7663807790726596,0.6495808797077859,A
Faulting,0.9799655434136829,0.6553023522379906,A
Fault dilation tendency,0.4336097216210209,0.6605608960183205,B
Fault slip tendency,0.31278079864536174,0.45959293274149887,B
Fault curvature,0.3846786005306631,0.5919900808931865,B
Temperature,0.11128051663587338,0.13572816786748387,B
Fault density,1.0,0.7683920259670498,A
Fault intersection density,0.6110100903179158,0.8009326415059488,B
Inverse distance from faults,0.8618493170863011,1.0,B
