Name,X,Y,S1,S2,S3,Signal
15-12,327137.93,4.40603467e6,2.7032423919147565e-16,0.46969902178360695,0.4011509273068475,C
17-31,328813.04,4.40882204e6,0.7184355610502824,2.1821057229289332e-16,0.2000547166927621,B
18-1,327026.54,4.40703217e6,2.7032423919147565e-16,1.0,1.88411625655147e-16,C
18-31,328801.97,4.40871725e6,0.8934267361849249,0.2544450910998291,9.398667130196181e-8,B
18A-1,327056.33,4.40703775e6,2.7032423919147565e-16,0.9599727925773988,1.88411625655147e-16,C
18B-31,328791.32,4.40871144e6,0.8316121999767541,0.28796122036368405,1.0380621843353692e-9,B
18D-31,328751.91,4.40862911e6,0.6105574899336886,0.42441690195060017,0.12586559555993643,B
22-13,327161.72,4.4051245e6,0.5713145854213628,2.1821057229289332e-16,0.15535462548348158,B
26-12,327300.66,4.40579963e6,0.43661911126611536,2.1821057229289332e-16,0.4354214434170996,A
27-1,327256.49,4.40720478e6,2.7032423919147565e-16,0.3567568121496306,0.4202273553346962,C
46-1,327805.01,4.40748476e6,0.5612831644926154,2.1821057229289332e-16,0.4780450653259196,A
46A-1,327774.78,4.40740108e6,0.5076057212266417,2.1821057229289332e-16,0.5250448272480904,A
47A-1,327661.35,4.40729129e6,0.426842101061869,2.1821057229289332e-16,0.538391255594267,A
47C-1,327746.25,4.4073085e6,0.12015668775495303,2.1821057229289332e-16,0.7874244650083867,A
48A-1,327704.9,4.40718065e6,2.7032423919147565e-16,2.1821057229289332e-16,1.0,A
55-1,328014.47,4.40772054e6,0.534192722323519,0.3339546725964537,0.35709569440990047,B
56-1,327963.43,4.40755491e6,0.7469603591067866,2.1821057229289332e-16,0.45807963402416374,A
56A-1,327859.51,4.40755578e6,2.7032423919147565e-16,0.37918236848777515,0.6693013562970364,A
56B-1,327891.35,4.40745289e6,0.3006062581510803,2.1821057229289332e-16,0.8507853992135523,A
57-1,327931.46,4.40741438e6,0.7238715353899209,2.1821057229289332e-16,0.5223942433357334,A
64-1,328156.6,4.40795433e6,0.9332302292500925,0.14085395528029868,1.88411625655147e-16,B
68A-1,328229.72,4.40707921e6,0.5703136083265773,0.26114375832301434,0.2529822063817487,B
68B-1,328065.7,4.40706164e6,0.5551540349889419,0.35314627841110424,0.32411857436244024,B
77-1,328214.13,4.40718169e6,0.3461036598077215,0.6893496883215992,0.1678182577252578,C
81-1,328567.28,4.40851194e6,0.9949475834685724,2.1821057229289332e-16,1.1125129305357299e-7,B
81-11,326859.34,4.4069495e6,2.7032423919147565e-16,2.1821057229289332e-16,0.6660814116490062,A
81A-1,328598.76,4.40855648e6,0.984956926747201,2.1821057229289332e-16,2.200357099073456e-9,B
81B-1,328528.63,4.40843124e6,0.6778614457704235,0.436042626067154,4.379525421533677e-7,B
82A-11,326907.12,4.40670723e6,2.7032423919147565e-16,0.743991373195957,1.88411625655147e-16,C
88-11,326889.0,4.40544507e6,2.7032423919147565e-16,0.5435752657536796,0.2475947137605764,C
B1,327745.53,4.40596877e6,2.7032423919147565e-16,2.1821057229289332e-16,0.7295510449932538,A
B2,327721.65,4.40609786e6,0.5764140049884311,2.1821057229289332e-16,0.38600063719891003,A
B3,327738.97,4.40619405e6,2.7032423919147565e-16,0.2976098012838048,0.6588415882665094,A
B4,327778.14,4.40639034e6,0.5107775878300558,0.3974883580748071,0.18885704791657784,B
B5,327713.81,4.40629808e6,0.36758256808816253,0.663639854466067,1.88411625655147e-16,C
B5A,327754.04,4.40637455e6,0.5244946481453456,0.47268183101708605,0.09657499132801148,B
B6,327848.36,4.40636567e6,2.7032423919147565e-16,0.5584682548190283,0.5013245852228683,C
B7,327784.51,4.40629935e6,0.4175343422324755,0.7716824879186602,0.013471108165564424,C
B8,327603.56,4.40643766e6,0.4222705012644889,2.1821057229289332e-16,0.44720505521772413,A
BCH-1,328398.2,4.40887416e6,0.32685870173994275,0.24368254039783036,0.32158206358666735,A
BCH-2,327732.14,4.40800628e6,0.24496447524966944,2.1821057229289332e-16,0.5780685377496835,A
BCH-3,327126.74,4.40600409e6,2.7032423919147565e-16,0.4232685965620964,0.4534162399154724,C
EE-1,327575.0,4.40640489e6,0.3566309699770711,2.1821057229289332e-16,0.47972395023853615,A
MG-1(SP-1),328194.09,4.4071925e6,0.4392165396045791,0.7898868668502537,1.88411625655147e-16,C
MG-2(SP-2),328128.08,4.4076273e6,1.0,0.1853510075228097,1.88411625655147e-16,B
MGI-1,327853.91,4.40678619e6,0.5088412752377935,0.27390244418076215,0.35782298020074244,B
MGI-2,327994.35,4.40709171e6,0.529625105621273,0.7320953025308663,0.021896157053182718,C
