Name,X,Y,S1,S2,S3,Signal
15-12,327137.93,4.40603467e6,0.8420273623899115,0.2261157551960166,0.8676807248268189,A
17-31,328813.04,4.40882204e6,0.37376439190727234,0.2617817686748239,0.304126159184954,B
18-1,327026.54,4.40703217e6,0.6313808130984045,0.4044450071081209,0.830203059173434,A
18-31,328801.97,4.40871725e6,0.2628835814567166,0.1629791063121107,0.23511395504350385,B
18A-1,327056.33,4.40703775e6,0.5306830708096579,0.4181694181898938,0.8441501446860892,A
18B-31,328791.32,4.40871144e6,0.35222216788037425,0.19319403980863017,0.2482895176355398,B
18D-31,328751.91,4.40862911e6,0.304515621984894,0.12684209158970683,0.3054830473406548,A
22-13,327161.72,4.4051245e6,0.3032225984574,0.7606754953970186,0.37045996664145353,C
26-12,327300.66,4.40579963e6,0.453465193334792,0.37214900199527023,0.4751606084270653,B
27-1,327256.49,4.40720478e6,0.42617360723947206,0.3585718358465139,1.0,A
46-1,327805.01,4.40748476e6,0.49791364119481596,0.5498007022269902,0.6023539518867762,C
46A-1,327774.78,4.40740108e6,0.44516519015304246,0.5965162299271455,0.5943061307760992,C
47A-1,327661.35,4.40729129e6,0.5149798686363177,0.8197692188900616,0.7486140197408478,C
47C-1,327746.25,4.4073085e6,0.4340495751016833,0.6974929913951765,0.666317330015379,C
48A-1,327704.9,4.40718065e6,0.11909370280512321,0.49484851702124366,0.4724523204845464,C
55-1,328014.47,4.40772054e6,0.9575122799290312,0.6085977592646514,0.38810636757694206,B
56-1,327963.43,4.40755491e6,1.0,0.8588491368266171,0.6178809809690237,B
56A-1,327859.51,4.40755578e6,0.7514288954697774,0.6679298078045783,0.5758313786142719,B
56B-1,327891.35,4.40745289e6,0.2674890215150536,0.4269348310435524,0.4732956224213304,C
57-1,327931.46,4.40741438e6,0.9483619536609834,0.9153001109764591,0.8096248556538247,B
64-1,328156.6,4.40795433e6,0.5308696604549752,1.0,0.3922763818345921,C
68A-1,328229.72,4.40707921e6,0.6831468671325255,0.730868955045023,0.7576678745371181,C
68B-1,328065.7,4.40706164e6,0.773175423512103,0.6696038937454549,0.6403433233008806,B
77-1,328214.13,4.40718169e6,0.836755250903819,0.7481475677028837,0.7642579128991847,B
81-1,328567.28,4.40851194e6,0.23421554038510456,0.19339663899961532,0.22141832915252266,B
81-11,326859.34,4.4069495e6,0.35931739021223147,0.1330212908676402,0.5440093601285807,A
81A-1,328598.76,4.40855648e6,0.20673219898584597,0.18247653435016778,0.20888506390249761,B
81B-1,328528.63,4.40843124e6,0.32096669567222547,0.15551785067058235,0.21644942457935312,B
82A-11,326907.12,4.40670723e6,0.21574213725110417,0.39044884851990264,0.7873039119649257,A
88-11,326889.0,4.40544507e6,0.5660560094197629,0.4246513660382486,0.6851787827592699,A
B1,327745.53,4.40596877e6,0.4857869932706667,0.5798443873689119,0.2997176373169772,B
B2,327721.65,4.40609786e6,2.236346213458501e-16,0.07194219962091981,0.09062906710970907,C
B3,327738.97,4.40619405e6,0.13674065654389253,0.17041867396640653,0.19610547764097971,C
B4,327778.14,4.40639034e6,0.2918468237428098,0.20225343399964157,0.23260600986880525,B
B5,327713.81,4.40629808e6,0.44924846486280606,0.4686402632818665,0.5261399843717649,C
B5A,327754.04,4.40637455e6,0.44858587360404045,0.2921106859626187,0.3436056880210833,B
B6,327848.36,4.40636567e6,0.26371760404170613,0.17125799087448543,0.20958666445370802,B
B7,327784.51,4.40629935e6,0.1590945495061882,0.06026833615237933,0.07009957881680332,B
B8,327603.56,4.40643766e6,0.4119999029327259,0.7291196709161408,0.8038367122817935,C
BCH-1,328398.2,4.40887416e6,0.6096063290311885,0.4894651789171213,0.4646090862073914,B
BCH-2,327732.14,4.40800628e6,0.6817115882677631,0.6207855700248927,0.6735908333625108,B
BCH-3,327126.74,4.40600409e6,0.9095358410233846,0.224980739617953,0.8529959203332966,A
EE-1,327575.0,4.40640489e6,0.3974708579473552,0.6763751436815121,0.840805289575419,C
MG-1(SP-1),328194.09,4.4071925e6,0.6630698793751856,0.7970981871174433,0.7967816020072938,C
MG-2(SP-2),328128.08,4.4076273e6,0.6300849874354577,0.9539667253253098,0.5356577897135583,C
MGI-1,327853.91,4.40678619e6,0.18278417148892082,0.21943285999722187,0.20390482717120959,C
MGI-2,327994.35,4.40709171e6,0.2938591736801622,0.12660018075574847,0.13943855025537777,B
