Name,X,Y,S1,S2,S3,S4,Signal
15-12,327137.93,4.40603467e6,0.14623335285319397,0.828645591697451,0.7753442398478719,0.656167981156363,A
17-31,328813.04,4.40882204e6,0.27088790275308067,0.3778622620185239,0.1991865465950143,0.2958796054526112,A
18-1,327026.54,4.40703217e6,0.41961221334871374,0.6469967849948973,0.3142870677948909,0.9532125924922941,C
18-31,328801.97,4.40871725e6,0.17487823930906246,0.2665608440230712,0.11420857815132779,0.2601709755101867,C
18A-1,327056.33,4.40703775e6,0.4123384846246456,0.5446373401057177,0.34049874264776075,0.9364645215385639,C
18B-31,328791.32,4.40871144e6,0.21395144708321978,0.3575228697615735,0.12624937648127593,0.2814666102394525,C
18D-31,328751.91,4.40862911e6,0.13944945526736566,0.3087462728040239,0.1254410181083867,0.35426513029757023,C
22-13,327161.72,4.4051245e6,0.7893920977055424,0.3169595117374063,0.11997257706924486,0.4478155523522142,D
26-12,327300.66,4.40579963e6,0.33324637344272556,0.4508705663216273,0.45796086642662603,0.3159126859287765,A
27-1,327256.49,4.40720478e6,0.2811083645329927,0.4324055824025363,0.5161132726822167,1.0,C
46-1,327805.01,4.40748476e6,0.5035057728523766,0.4985920267705046,0.5089374711423762,0.45791569845381036,B
46A-1,327774.78,4.40740108e6,0.5498295649582966,0.44519663428270073,0.5165595986221396,0.4233204375753337,B
47A-1,327661.35,4.40729129e6,0.7323371373357059,0.5115660474100776,0.7656329066419939,0.42112345167354603,B
47C-1,327746.25,4.4073085e6,0.6253197803329932,0.43149172732358154,0.6374374398040208,0.4113728853307273,B
48A-1,327704.9,4.40718065e6,0.427315596936231,0.11821621362541403,0.4238127666889951,0.28369311184555196,B
55-1,328014.47,4.40772054e6,0.6159612752474399,0.9534623407746833,0.5880560177880153,0.15626442550814915,A
56-1,327963.43,4.40755491e6,0.8487340108204701,1.0,0.7140576102801162,0.36296543534535297,A
56A-1,327859.51,4.40755578e6,0.6345378764195903,0.7514918702295368,0.6296302207404582,0.3470938651424002,A
56B-1,327891.35,4.40745289e6,0.3887040999825203,0.2685640667249889,0.33874742560322435,0.3951464578518474,B
57-1,327931.46,4.40741438e6,0.8819034179221815,0.9518503988419642,0.7437329290093327,0.6030742318705778,A
64-1,328156.6,4.40795433e6,1.0,0.5348501815174955,0.4062869360929344,0.26137843659623167,D
68A-1,328229.72,4.40707921e6,0.6935494095564246,0.6837867688994216,0.6273487090594106,0.5855885154920777,B
68B-1,328065.7,4.40706164e6,0.6205132350159944,0.7704475361021507,0.6856772868654222,0.3980715744440081,A
77-1,328214.13,4.40718169e6,0.7171686816013818,0.8364759955322766,0.6763345871289953,0.5792678110240904,A
81-1,328567.28,4.40851194e6,0.19303921977798275,0.2352513400323389,0.16745741851553694,0.18662076582767093,A
81-11,326859.34,4.4069495e6,0.18017912807454511,0.36809062867191317,0.050719676969721975,0.7441074686075423,C
81A-1,328598.76,4.40855648e6,0.17846386016881016,0.2075587282044109,0.16027028722679384,0.17343043659765145,B
81B-1,328528.63,4.40843124e6,0.16926323065120952,0.3234074332796609,0.1389967364856514,0.22194152726032276,A
82A-11,326907.12,4.40670723e6,0.4107398427466737,0.22203097005839556,0.12994009554351196,0.9843672421358355,C
88-11,326889.0,4.40544507e6,0.36054411053779906,0.5626937871126111,0.6785944952971068,0.4091045538384688,A
B1,327745.53,4.40596877e6,0.6162243741707677,0.49639883543531377,0.15714979949416394,0.3505127900179405,D
B2,327721.65,4.40609786e6,0.06103716447335351,2.0677458606484739e-16,0.05680369849333112,0.07294903057531756,B
B3,327738.97,4.40619405e6,0.15730208246022215,0.13778685354334833,0.15321532830673676,0.15216514914912374,B
B4,327778.14,4.40639034e6,0.19171838511171882,0.2913395220089094,0.2269473560347905,0.1635537366946928,A
B5,327713.81,4.40629808e6,0.44345720937495725,0.4488590007253896,0.4213038226370869,0.41404951296076076,B
B5A,327754.04,4.40637455e6,0.28459210953512143,0.44869058069459977,0.31074415775300984,0.2657854455690266,A
B6,327848.36,4.40636567e6,0.16630210836329484,0.26297950434641215,0.18998977627804584,0.15931174398451606,A
B7,327784.51,4.40629935e6,0.06560801407276004,0.1590526171900297,0.07272313207889106,0.05645799590327776,A
B8,327603.56,4.40643766e6,0.6435276303419035,0.4131123631811631,0.6462967981674714,0.5978713325347417,B
BCH-1,328398.2,4.40887416e6,0.4333782593492998,0.601516837883615,0.6962224087379693,0.09506013050339807,A
BCH-2,327732.14,4.40800628e6,0.4850153131487913,0.6662461491573131,1.0,0.15231548102965364,A
BCH-3,327126.74,4.40600409e6,0.1545505166648506,0.8927807224821686,0.7940866636425413,0.6267203783855003,A
EE-1,327575.0,4.40640489e6,0.5853488038518049,0.39846307315447727,0.6356464089449051,0.6618609944328674,B
MG-1(SP-1),328194.09,4.4071925e6,0.7360111346406106,0.6627323066821098,0.709356992617859,0.5672722992831049,B
MG-2(SP-2),328128.08,4.4076273e6,0.935019729674712,0.63272666281007,0.5430542892129097,0.34876331646307723,D
MGI-1,327853.91,4.40678619e6,0.1849767096188986,0.18103760907431288,0.2546104299455098,0.08684221151129003,A
MGI-2,327994.35,4.40709171e6,0.1244505936916601,0.2921989488402829,0.16929642036955964,0.09309073072093527,A
