Name,S1,S2
15-12,1680.7313951949777,2180.3665851322285
17-31,880.6557959673739,981.5754318395227
18-1,2045.2964910445378,1659.9427181654412
18-31,621.7012242052394,689.8145728517904
18A-1,2158.744908113031,1398.1839227195437
18B-31,650.9903112245636,924.5934168516521
18D-31,669.3767446838187,796.979381484875
22-13,2000.0801273531627,811.4295926274021
26-12,1389.1963489000027,1187.0225765163757
27-1,2426.06712716849,1117.403642643643
46-1,1952.8261298284544,1308.2081759027478
46A-1,2057.8763434283364,1170.7574131862518
47A-1,2750.9032754568693,1355.3487023298794
47C-1,2401.1928268257307,1142.9454919887287
48A-1,1820.6767202005558,313.37296419046106
55-1,1348.6450226268062,2521.8853689542075
56-1,2262.9432865396334,2632.84721115136
56A-1,1966.8959419020284,1978.073697962989
56B-1,1599.7407512870714,703.9657209404108
57-1,2789.087085717073,2494.277761236728
64-1,2376.6559095582784,1396.193998835952
68A-1,2499.8129826483614,1791.9342372039605
68B-1,2090.7600238719606,2030.013003887555
77-1,2451.3087860523856,2195.764409563658
81-1,669.7053411961866,615.2457823570936
81-11,1124.1869166144547,940.6655754363153
81A-1,640.7029068677953,542.9531929296129
81B-1,534.6850515952931,842.0413061642754
82A-11,2192.309219529473,564.3567877501606
88-11,1840.74818925012,1482.2786178242236
B1,1411.0382910482722,1278.8970949670306
B2,319.25350987498666,5.471851042297541e-13
B3,635.6789434314434,358.50467665289943
B4,674.8590166802461,765.3730678188065
B5,1677.1629573762127,1177.8114939321213
B5A,973.5337979385336,1176.3208823215418
B6,586.5219353798263,691.595792380846
B7,158.55921521562436,417.2551557086032
B8,2754.050581586609,1081.172499143841
BCH-1,1493.264601320302,1601.371571118253
BCH-2,2121.697118648733,1787.7033594971333
BCH-3,1613.67427164963,2351.6970991337957
EE-1,2736.400741410895,1042.0803993792692
MG-1(SP-1),2716.917146168611,1739.8345474196547
MG-2(SP-2),2510.959596683443,1659.3582365798268
MGI-1,716.6755584345193,479.8812988247939
MGI-2,341.71207281258853,771.1130644452597
