Name,X,Y,S1,S2,Signal
15-12,327137.93,4.40603467e6,0.6026098660748208,0.8281401882712142,B
17-31,328813.04,4.40882204e6,0.3157505552541604,0.3728189876275706,B
18-1,327026.54,4.40703217e6,0.7333211291675007,0.6304743819294922,B
18-31,328801.97,4.40871725e6,0.22290491659044068,0.2620032677665827,B
18A-1,327056.33,4.40703775e6,0.7739969537588027,0.5310539543645258,A
18B-31,328791.32,4.40871144e6,0.23340623337230587,0.351176252437118,B
18D-31,328751.91,4.40862911e6,0.2399985099467492,0.30270627862843247,B
22-13,327161.72,4.4051245e6,0.7171092425172314,0.3081947137648595,A
26-12,327300.66,4.40579963e6,0.4980828157048531,0.4508512956956904,B
27-1,327256.49,4.40720478e6,0.8698427308320311,0.42440884450525923,A
46-1,327805.01,4.40748476e6,0.7001667821090584,0.4968796405510597,A
46A-1,327774.78,4.40740108e6,0.7378315126719169,0.4446735109532894,A
47A-1,327661.35,4.40729129e6,0.9863095668630273,0.5147844115637752,A
47C-1,327746.25,4.4073085e6,0.860924292798977,0.43411007184458367,A
48A-1,327704.9,4.40718065e6,0.6527858988427608,0.11902436376223334,A
55-1,328014.47,4.40772054e6,0.4835435327685618,0.9578548114272729,B
56-1,327963.43,4.40755491e6,0.8113562671198672,1.0,B
56A-1,327859.51,4.40755578e6,0.7052113761432947,0.7513059206720792,B
56B-1,327891.35,4.40745289e6,0.5735714598082472,0.2673781136857396,A
57-1,327931.46,4.40741438e6,1.0,0.9473689740415909,B
64-1,328156.6,4.40795433e6,0.8521268201803893,0.5302981475424804,A
68A-1,328229.72,4.40707921e6,0.896283588795027,0.680606998239118,A
68B-1,328065.7,4.40706164e6,0.7496216359032859,0.7710333494816882,B
77-1,328214.13,4.40718169e6,0.8788928816907684,0.8339885429976913,B
81-1,328567.28,4.40851194e6,0.240116325024683,0.23368077712646412,B
81-11,326859.34,4.4069495e6,0.4030662657940732,0.35728073070558336,B
81A-1,328598.76,4.40855648e6,0.22971778477224236,0.20622282623539562,B
81B-1,328528.63,4.40843124e6,0.19170611571557503,0.3198215614631301,B
82A-11,326907.12,4.40670723e6,0.7860311105939639,0.21435227435904416,A
88-11,326889.0,4.40544507e6,0.6599823285105006,0.5629945450484436,B
B1,327745.53,4.40596877e6,0.5059140312520916,0.4857467951616384,B
B2,327721.65,4.40609786e6,0.11446523542053788,2.0783017788201495e-16,A
B3,327738.97,4.40619405e6,0.22791649163152988,0.1361661531798965,A
B4,327778.14,4.40639034e6,0.2419641251562929,0.2907016649416979,B
B5,327713.81,4.40629808e6,0.6013304374628428,0.4473527703937887,A
B5A,327754.04,4.40637455e6,0.3490510579336172,0.44678661083683985,B
B6,327848.36,4.40636567e6,0.21029172534031215,0.26267980513704287,B
B7,327784.51,4.40629935e6,0.05684986174422692,0.15848058100042006,B
B8,327603.56,4.40643766e6,0.9874380028110682,0.41064764205251303,A
BCH-1,328398.2,4.40887416e6,0.535395473654199,0.608228067445647,B
BCH-2,327732.14,4.40800628e6,0.7607138298097442,0.6790000391687597,B
BCH-3,327126.74,4.40600409e6,0.578567187777414,0.8932144217002946,B
EE-1,327575.0,4.40640489e6,0.9811098245816758,0.3957997999145424,A
MG-1(SP-1),328194.09,4.4071925e6,0.9741241713397747,0.6608186529209245,A
MG-2(SP-2),328128.08,4.4076273e6,0.9002800986538133,0.6302523859157704,A
MGI-1,327853.91,4.40678619e6,0.25695703877609916,0.18226705172722077,A
MGI-2,327994.35,4.40709171e6,0.12251753434394269,0.29288181295869703,B
