LATITUDE_NAD83,LONGITUDE_NAD83,TEMP_C,GEOTHERMOMETER_QUARTZ_C,GEOTHERMOMETER_CHALCEDONY_C,pH_FIELD,TDS_LAB,AL_PPM,B_PPM,BA_PPM,BE_PPM,BR_PPM,CA_PPM,CL_PPM,HCO3_PPM,K_PPM,LI_PPM,MG_PPM,NA_PPM,δO18
39.43413,-111.05961,4.0,28.12262066,-4.742635979,7.2,,,0.02,,,,70.0,3.2,,0.6,,25.0,3.4,
39.4233,-111.066,4.5,28.55037887,-4.311903106,7.5,,,0.03,,,,76.0,4.1,,1.0,,31.0,4.8,
39.4658,-111.05322,5.2,21.54955234,-11.34146954,7.1,,,0.02,,,0.2,74.0,2.9,,0.5,,15.0,1.9,
39.42858,-111.06961,4.5,,,7.3,,,,,,,,,,,,,,
39.32108,-111.11211000000002,8.0,,,,,,,,,,,,,,,,,
39.49469000000001,-111.056,10.0,26.80931205,-6.064084175,7.3,,,0.02,,,0.0,87.0,3.3,,1.7,,29.0,2.3,
39.49469000000001,-111.05628,8.5,28.12262066,-4.742635979,7.2,,,,,,0.0,110.0,3.2,,2.0,,35.0,2.2,
39.49469000000001,-111.05656,8.5,24.51179877,-8.372239439,7.6,,,,,,0.1,68.0,2.3,,1.2,,23.0,1.8,
39.32802,-111.11628,14.0,,,,,,,,,,,,,,,,,
39.34552,-111.11267,5.0,,,,,,,,,,,,,,,,,
39.32024000000001,-111.12184,8.0,,,8.4,,,,,,,,,,,,,,
39.31941,-111.12239,10.2,37.60833524,4.846541817,7.3,,,0.1,,,,120.0,18.0,,4.5,0.03,81.0,26.0,
39.32163,-111.12378,11.5,31.80952422,-1.024862298,7.8,,,0.02,,,0.1,100.0,8.4,,2.2,,43.0,18.0,
39.32191,-111.12378,13.333333333333334,34.55955105,1.7563919606666667,7.333333333333333,,,0.10000000000000002,0.4,,,75.33333333333333,10.299999999999999,,3.3333333333333335,0.02,52.333333333333336,21.666666666666668,
39.32187,-111.12383,29.0,33.34120526,0.523130341,7.800000191,549.0,,0.07,,,,85.0,10.0,420.0,3.0,,56.0,21.0,
39.33497,-111.11988999999998,12.0,32.19814028,-0.632301809,7.2,,,0.05,,,,130.0,11.0,,2.9,,39.0,18.0,
39.31969,-111.12795,11.5,29.80538087,-3.047255133,7.0,,,0.1,,,,210.0,21.0,,4.7,,120.0,28.0,
39.31997,-111.12795,11.5,28.55037887,-4.311903106,7.0,,,0.1,,,,210.0,20.0,,4.9,,140.0,25.0,
39.32802,-111.12573,12.5,25.90736547,-6.970753847,7.2,,,0.09,,,,130.0,10.0,,2.7,,65.0,19.0,
39.3233,-111.12795,10.0,28.97334524,-3.885838932,7.3,,,0.08,,,,150.0,13.0,,3.9,,82.0,19.0,
39.31941,-111.13017,13.0,28.97334524,-3.885838932,7.8,,,0.08,,,,96.0,9.4,,2.8,,50.0,20.0,
39.32858,-111.12739,13.0,28.97334524,-3.885838932,7.1,,,0.05,,,,120.0,11.0,,2.9,,58.0,20.0,
39.40386,-111.10100000000001,9.5,26.36107635,-6.514755261,6.8,,,0.02,,,,78.0,4.0,,1.1,0.01,30.0,4.1,
39.3933,-111.10489,10.357142857142858,39.26050119,6.524796747999999,7.575,,,0.07,,,,92.0,15.0,,3.9,,69.0,24.0,
39.43636,-111.09017,6.0,22.06043214,-10.82992574,8.1,,,0.03,,,,42.0,5.4,,0.8,,27.0,2.7,
39.42302,-111.09684,9.5,24.51179877,-8.372239439,7.8,,,,,,,71.0,3.1,,0.7,,29.0,3.8,
39.3258,-111.13184,14.0,34.815163899999995,2.014724075,7.3,,,0.04,,,0.1,110.0,10.0,,3.0,,52.0,18.0,
39.52219,-111.06295,6.0,14.76078303,-18.11776696,8.0,,,,0.032,0.0005,,128.0,5.4,242.5,9.55,0.045,93.5,2.95,
39.32358,-111.13461,5.6,27.68994495,-5.178158773,7.4,,,0.05,,,,89.0,11.0,,1.1,0.02,43.0,22.0,
39.46386,-111.08517,5.5,23.55101454,-9.336119133,7.5,,,0.02,,,,61.0,2.0,,0.4,0.01,23.0,2.1,
39.52385,-111.06545,7.0,16.58624458,-16.29954334,8.0,,,,0.037000000000000005,0.0005,,90.0,4.3,381.0,11.0,0.041,63.0,4.7,
39.52191,-111.06628,6.0,32.910017305,0.09545400400000004,7.9,,,,0.0235,0.0005,,88.66666666666667,5.566666666666666,341.6666666666667,5.2,0.041,71.33333333333333,4.8999999999999995,
39.45802,-111.08906,4.6,,,7.2,,,,,,,,,,,,,,
39.32024000000001,-111.13795,3.4,23.06094461,-9.827460748,8.5,,,0.02,,,,63.0,3.7,,0.8,0.01,32.0,14.0,
39.45163,-111.09239,3.9,33.34120455,0.523129617,7.2,,,0.04,,,0.0,69.0,3.0,,1.2,,24.0,4.0,
39.52358,-111.06683999999998,10.0,25.90736547,-6.970753847,7.7,,,,,,,86.0,5.2,,3.7,,66.0,3.3,
39.52302,-111.06711,7.0,24.03456796,-8.851107547,7.4,,,,0.029,0.0005,,110.0,4.8,283.0,6.3,0.04,57.0,4.2,
39.53247,-111.06378,8.6,25.54035084,-7.339488518,7.9,,0.002,0.012,0.038,,,50.9,2.56,275.5,0.2,0.0028,21.15,2.775,
39.50608,-111.07406,7.5,14.76078303,-18.11776696,7.7,,,,,,,180.0,2.6,,2.9,,110.0,4.2,
39.52719,-111.06683999999998,8.866666666666667,28.240476845,-4.61519327,6.433333333333334,,0.002,0.0095,0.037,,,57.93333333333334,2.7266666666666666,243.75,3.623333333333333,0.00425,8.993333333333334,3.776666666666666,
39.13803000000001,-111.20461,10.818181818181818,44.31122459,11.671052570333336,7.7,,,,,,,47.0,5.666666666666667,,1.0,,6.8999999999999995,3.5666666666666664,
39.35469000000001,-111.12878,11.2,24.51179877,-8.372239439,7.6,,,0.02,,,,83.0,7.0,,1.7,,41.0,19.0,
39.33552,-111.13573,13.5,28.97334524,-3.885838932,7.4,,,0.04,,,,130.0,9.7,,4.7,,60.0,20.0,
39.32636,-111.14017,11.0,61.52592334,29.37871803,7.2,,,0.14,,,,110.0,9.7,,4.5,,78.0,26.0,
39.31941,-111.14267,13.5,34.45181497,1.646851127,7.4,,,0.03,,,0.1,100.0,8.5,,2.3,,46.0,19.0,
39.4058,-111.11211000000002,10.863636363636363,30.61963913,-2.226004811,7.5,,,0.08,,,,83.0,8.1,,2.3,,42.0,6.6,
39.401360000000004,-111.11406,10.5,29.80538087,-3.047255133,7.266666666666666,,,0.03,,,,82.0,7.3,,2.7,,58.0,21.0,
39.31941,-111.14406,14.0,31.41696437,-1.4212727040000002,7.2,,,0.02,,,,90.0,7.3,,2.5,,46.0,20.0,
39.51247,-111.07572,8.5,25.90736547,-6.970753847,7.8,,,,0.086,0.0005,,69.0,2.1,,1.3,0.011,26.0,2.5,
39.3483,-111.13406,11.0,26.36107635,-6.514755261,7.5,,,0.03,,,,97.0,7.6,,2.5,,48.0,21.0,
39.5133,-111.07572,9.5,28.55037887,-4.311903106,7.2,,,,0.079,0.0005,,100.0,3.4,,8.2,0.033,42.0,6.4,
39.35747,-111.13156,9.0,29.80538087,-3.047255133,7.8,,,0.03,,,,78.0,6.7,,3.8,,42.0,17.0,
39.33774,-111.13878,6.15,26.80931205,-6.064084175,7.1,,,,,,,59.0,4.2,,0.6,,28.0,15.0,
39.52858,-111.07128,8.7,17.40606413,-15.48204628,7.9,,0.001,0.013,0.029,,,90.5,1.38,301.5,1.405,0.0076,38.7,2.955,
39.5308,-111.071,8.6,24.688826785,-8.1941687535,7.85,,0.0015,0.011,0.0215,,,54.45,2.585,242.0,0.74,0.00445,19.3,2.785,
