Name,S1,S2,S3
1,3.8059847,0.25263527,1.7700785
2,3.850074,0.3095996,2.0956874
3,3.5347614,9.579713e-6,2.9014494
4,3.8466597,0.117008656,0.6199232
5,3.6756208,1.6428764,0.14139603
6,4.3825955,0.00053901237,1.330095
7,4.3683763,9.3289833e-7,1.2560078
8,3.9894783,2.9574647e-14,2.494222
9,4.912723,0.4501763,0.10307969
10,3.03634,1.9576024,0.06109695
11,4.869939,0.007377554,0.24614033
12,3.536221,0.964541,3.3110778
13,3.6705203,0.7040382,3.0627089
14,3.9560745,0.6752527,2.9893863
15,4.2051616,0.81091374,2.547725
16,3.630013,0.67847985,3.0603817
17,3.4980667,0.57897013,4.0736556
18,3.541689,0.49041274,4.1195836
19,3.6467993,0.45086318,3.47876
20,3.6565044,0.49657327,3.5800126
21,3.8090055,0.58651936,3.1156538
22,3.6019676,0.5668186,3.2823446
23,3.8197927,0.21010347,2.1924078
24,3.6466985,1.0016018,2.968104
25,3.9512885,0.18423158,2.0175126
26,4.162185,2.3700759e-5,1.9401249
27,3.5741975,0.8670279,3.1494591
28,3.9708111,0.25765797,2.2405791
29,3.3855689,0.6590884,3.0546744
30,4.0975113,1.1311227e-14,1.6199086
31,4.0496144,0.36901766,2.153073
32,3.850442,0.7665278,1.9999335
33,3.8025982,0.2754464,0.318719
34,3.8500543,0.21866518,2.434199
35,4.124615,0.2388039,1.2282101
36,4.229672,7.549807e-10,2.4469855
37,3.7985032,0.5466978,2.097457
38,3.9424875,0.24781154,1.2912765
39,4.2226367,9.267758e-16,2.3458543
40,3.535317,0.5744277,1.4940482
41,3.9054954,1.1108902,0.8382504
42,3.7295983,0.35862318,2.90978
43,3.781146,0.4516645,3.3171287
44,3.800079,1.6637349,2.1174924
45,3.5835338,0.860866,3.010639
46,3.8783278,0.53852403,2.5979984
47,3.646768,0.5773573,2.9074025
48,3.7097301,0.59161055,2.752326
49,4.171562,9.267758e-16,1.8311234
50,3.7133498,0.42533353,3.0776408
51,3.9579864,0.5429031,2.0618904
52,3.8135464,0.52832174,2.77267
53,3.4782739,0.53491044,2.2277772
54,4.2164536,0.00027834048,1.3701795
55,3.8015213,0.41885737,1.2746817
56,2.644644,3.753304,0.828545
57,3.6702266,0.72544754,1.1723903
58,3.1726089,0.85493577,3.345395
59,3.5672243,0.8897448,0.045685574
60,3.693534,0.52631664,1.1033102
61,3.7692068,0.72437483,3.2547793
62,3.604205,0.567582,3.1601453
63,3.3196008,0.7184188,2.6918862
64,4.1432705,1.3481488,0.05380718
65,3.9593627,9.267758e-16,1.4085206
66,2.3421562,4.0271974,0.5844806
67,4.2079163,0.14053921,1.3934716
68,2.519753,1.596769,5.1706305
69,4.1660914,0.0009219827,1.9813486
70,3.9152508,9.267758e-16,1.3744264
71,3.7437854,0.6999374,2.8070872
72,4.1280293,0.71302754,0.13858989
73,3.6186514,0.5702595,0.95454377
74,3.8894925,9.267758e-16,1.3527472
75,3.540114,0.5559241,2.3838618
76,3.3412235,1.8259432,0.060150396
77,3.4999256,1.1705753,0.044626236
78,4.0657916,0.1788464,1.7123063
79,3.5566154,0.47945878,2.4183834
80,3.6238153,0.46559775,2.0887132
81,4.070544,0.062147036,2.517868
82,3.6859486,0.72519416,3.2169676
83,3.6131601,0.3078183,2.4690392
84,3.630144,0.50599766,2.0840662
85,4.075295,3.7576067e-6,2.0174663
86,3.1790428,1.6284478,0.18217394
87,3.6545992,0.35459793,2.7015336
88,4.0039883,0.11951958,2.0959642
89,4.0102525,3.8911276e-13,1.5290996
90,3.7216897,0.81389445,3.1074195
91,3.3916497,0.74518204,3.656581
92,3.1712556,1.4532253,2.5841699
93,3.1178858,1.6473515,3.2403405
94,3.5528522,1.2553707,3.7341938
95,3.8328977,0.5872848,2.7495654
96,4.373646,9.267758e-16,0.60415316
97,4.3574615,0.0025209615,0.13847262
98,3.6506836,1.0433289,3.0486202
99,4.2390475,0.08062449,0.55835664
100,2.1713896,3.2400246,1.1225713
101,3.7732728,0.45551234,2.4385822
102,3.4510064,0.95406497,3.0531027
103,4.0405035,0.36354965,1.5223905
104,3.4667246,2.3604262,0.10745829
105,3.9163888,0.7575078,1.9128401
106,3.482071,0.388161,2.4742663
107,4.1093664,0.7039893,1.2069257
108,3.8505197,1.3717021,1.2483534
109,4.0631604,0.24052945,2.146008
110,3.7365909,0.5474809,2.736801
111,4.1075478,0.22754508,1.6499103
112,3.8705845,0.00045791254,2.2489238
113,4.0000515,0.095191844,2.0644848
114,3.7232945,0.2757341,2.7065005
115,4.2077327,0.006398629,0.1825072
116,3.804483,0.21199848,2.2708702
117,3.3798146,1.0659668,3.0953448
118,4.0312996,0.21563597,1.9378295
119,3.2392123,2.0052495,0.7319535
120,4.132547,6.938785e-5,2.174741
121,4.202551,0.22755063,1.2535927
122,4.439413,0.015087718,0.08830528
123,4.085032,0.9120088,2.6656806
124,2.2493622,2.386574,2.56839
125,4.0154653,0.96540534,2.7495182
126,4.027973,0.26204324,2.000248
127,3.8236375,0.7185107,1.5293999
128,3.569939,0.60453975,2.790256
129,2.6229603,1.8822194,2.7718785
130,3.8563976,0.28894866,2.2736263
131,3.681048,0.13160515,2.107251
132,3.9515953,0.13730331,2.0613725
133,3.1252587,2.1345804,1.9535273
134,3.5793693,0.63141924,2.2943313
135,3.5889368,1.1697266,1.4674852
136,3.5633311,0.5564288,2.4411778
137,3.1365554,0.88843834,3.0216453
138,4.2015123,0.002064693,0.23933142
139,3.4785194,0.9508875,4.1690326
140,3.7059827,0.8042295,3.39446
141,3.8372438,0.17489342,2.6135962
142,4.234202,0.27074325,2.0696611
143,3.7000647,0.5709423,2.7984972
144,4.319754,9.267758e-16,1.1589528
145,3.914935,0.573054,1.4870068
146,4.3603983,0.016838353,0.26792803
147,3.441695,1.1241399,2.5795867
148,3.6616724,0.042752746,2.0301774
149,2.7684684,1.3799201,4.266894
150,3.7261808,0.08335522,1.620135
151,3.8071983,0.2190069,2.295929
152,4.1998467,0.48119524,1.828171
153,4.0528574,0.490189,2.316386
154,3.846482,0.4816505,0.8995156
155,2.992467,1.5789902,3.4415116
156,4.038561,0.15306003,0.67166686
157,3.589536,2.4643812,0.8939733
158,3.9975617,0.6531445,2.1431913
159,3.0364096,2.1866422,0.091232456
160,3.2369752,0.8517168,2.8952966
161,3.376653,0.6869247,2.6534436
162,3.581378,1.0813512,2.6886072
163,3.210751,1.354454,1.8813039
164,3.2099564,1.3843521,1.8086424
165,3.5284774,2.1312063,9.92522e-16
166,2.7197194,2.7500505,1.1987168
167,3.110888,1.0845101,3.074432
168,2.8462875,1.2305111,0.63040847
169,3.5945494,1.3523018,1.4316036
170,2.823855,1.7837764,3.0936792
171,3.2082148,1.0029793,3.292026
172,3.0027957,1.295655,3.2553575
173,3.9101183,0.21915886,1.7591721
174,4.0322027,0.5080201,1.0749282
175,3.0528848,1.2328081,3.7966142
176,2.9639466,1.3272623,3.590686
177,2.74477,1.8047304,2.7631068
178,3.623286,0.44747704,2.0335324
179,3.0529835,1.1661171,3.055769
180,3.7297077,0.68479675,2.6076617
181,3.1412845,1.0897182,3.6293418
182,3.6178856,0.5455409,2.437395
183,3.254525,1.0991693,2.370951
184,3.9169316,0.26304567,2.4667795
185,3.3299017,1.4831253,1.1951425
186,4.022966,0.025585297,0.34880546
187,3.4920697,0.104874454,3.1327507
188,3.7916915,0.21494937,2.143748
189,3.4189632,0.09397391,2.0954716
190,3.6993313,0.65158665,1.9638658
191,3.6727755,0.06786046,2.5843651
192,3.6646302,0.9885175,1.6239957
193,4.1216235,0.00037563083,2.3592274
194,3.4750144,0.82295,2.9344666
195,3.8562982,0.024186013,1.465482
196,3.6586502,3.3147802,0.8554664
197,3.6249542,1.0820117,3.101407
198,4.0204363,0.11134478,2.13704
199,4.010508,0.10806841,2.2180645
200,4.2502704,0.13977662,0.57287616
201,3.255799,1.0680689,2.7376678
202,4.5432034,0.013946393,0.27520087
203,3.4106874,1.0665212,0.028177164
204,3.7180066,0.16450784,0.70929956
205,3.6404824,0.56956154,2.3354802
206,4.3495035,1.1832461,0.13351251
207,3.5918872,0.30333328,2.2520568
208,3.7343645,0.25358546,1.3891349
209,4.090095,0.0035547942,0.23226117
210,4.0899186,3.2422394e-9,1.6286823
211,0.06831159,8.33614,0.23859616
212,2.9555237,1.0813892,4.2137194
213,3.9731147,0.043410704,0.49816254
214,3.5958488,0.5838838,2.656395
215,2.9998686,1.4971985,1.3596838
