Name,X,Y,A,B,Signal
1,-111.05961,39.43413,0.67944163,0.05024596,A
2,-111.066,39.4233,0.6852361,0.07288343,A
3,-111.05322,39.4658,0.58063793,0.12332612,A
4,-111.06961,39.42858,0.64730793,0.033283073,A
5,-111.11211,39.32108,0.49904048,0.2652016,A
6,-111.056,39.49469,0.777317,0.0,A
7,-111.05628,39.49469,0.7727846,0.0,A
8,-111.05656,39.49469,0.67771417,0.08802413,A
9,-111.11628,39.32802,0.5128731,0.35353252,B
10,-111.11267,39.34552,0.3958441,0.29097137,B
11,-111.12184,39.32024,0.8173802,0.0047000702,A
12,-111.12239,39.31941,0.6171361,0.20742185,A
13,-111.12378,39.32163,0.63801384,0.16955167,A
14,-111.12378,39.32191,0.7198483,0.14777459,A
15,-111.12383,39.32187,0.70286304,0.16871433,A
16,-111.11989,39.33497,0.6366166,0.16453741,A
17,-111.12795,39.31969,0.59446275,0.22393121,A
18,-111.12795,39.31997,0.60035914,0.21941695,A
19,-111.12573,39.32802,0.63288844,0.17175083,A
20,-111.12795,39.3233,0.6318294,0.1824842,A
21,-111.13017,39.31941,0.67232674,0.1545003,A
22,-111.12739,39.32858,0.6269472,0.17041732,A
23,-111.101,39.40386,0.67248064,0.07737938,A
24,-111.10489,39.3933,0.6466028,0.18194821,A
25,-111.09017,39.43636,0.7060435,0.054887377,A
26,-111.09684,39.42302,0.74293995,0.034864236,A
27,-111.13184,39.3258,0.6220082,0.18862046,A
28,-111.06295,39.52219,0.6728818,0.11583549,A
29,-111.13461,39.32358,0.5895368,0.17153274,A
30,-111.08517,39.46386,0.7341336,0.017335571,A
31,-111.06545,39.52385,0.69423187,0.109772705,A
32,-111.06628,39.52191,0.6778599,0.119989835,A
33,-111.08906,39.45802,0.6286278,0.04844123,A
34,-111.13795,39.32024,0.6816487,0.08861502,A
35,-111.09239,39.45163,0.75895274,0.0033816164,A
36,-111.06684,39.52358,0.74773055,0.06540293,A
37,-111.06711,39.52302,0.6596009,0.11877672,A
38,-111.06378,39.53247,0.6870503,0.02635363,A
39,-111.07406,39.50608,0.7702604,0.045037474,A
40,-111.06684,39.52719,0.6198184,0.07320482,A
41,-111.20461,39.13803,0.72098076,0.056877993,A
42,-111.12878,39.35469,0.65484947,0.12790823,A
43,-111.13573,39.33552,0.65830123,0.16000727,A
44,-111.14017,39.32636,0.6931574,0.17731231,A
45,-111.14267,39.31941,0.62494385,0.17982174,A
46,-111.11211,39.4058,0.6890038,0.11905103,A
47,-111.11406,39.40136,0.64076394,0.14696637,A
48,-111.14406,39.31941,0.6538728,0.13765183,A
49,-111.07572,39.51247,0.7474393,0.028313933,A
50,-111.13406,39.3483,0.650029,0.14386626,A
51,-111.07572,39.5133,0.68870157,0.111021504,A
52,-111.13156,39.35747,0.6743456,0.13052131,A
53,-111.13878,39.33774,0.61775595,0.107639335,A
54,-111.07128,39.52858,0.6890657,0.039574355,A
55,-111.071,39.5308,0.6528969,0.049139388,A
56,-111.11684,39.4033,0.48644185,0.32794675,B
57,-111.07128,39.53163,0.61736643,0.07890381,A
58,-111.14295,39.3308,0.54819965,0.20606716,A
59,-111.146,39.32302,0.42888936,0.2468073,A
60,-111.14989,39.31274,0.6180277,0.10100884,A
61,-111.14295,39.33469,0.655009,0.18019208,A
62,-111.14267,39.33663,0.6282243,0.16338055,A
63,-111.13934,39.34636,0.58335525,0.15403615,A
64,-111.11878,39.40469,0.4839003,0.33198577,B
65,-111.07572,39.52802,0.6876867,0.015873646,A
66,-111.10545,39.44552,0.44198433,0.3328515,B
67,-111.07545,39.53024,0.75856274,0.011795547,A
68,-111.18378,39.23108,0.402882,0.39103705,B
69,-111.09378,39.48691,0.7424974,0.035168488,A
70,-111.0785,39.52997,0.6838759,0.011564902,A
71,-111.15128,39.32691,0.66306376,0.14711954,A
72,-111.1485,39.33497,0.63305515,0.11066619,A
73,-111.09739,39.48413,0.6371999,0.05429571,A
74,-111.08322,39.5258,0.67046624,0.017147928,A
75,-111.14573,39.35024,0.62998235,0.11404125,A
76,-111.14878,39.34219,0.2678842,0.4718893,B
77,-111.09906,39.48441,0.6045061,0.08200335,A
78,-111.0835,39.52913,0.7195014,0.039792676,A
79,-111.09934,39.48524,0.6145578,0.12014585,A
80,-111.11323,39.45163,0.64592993,0.088710815,A
81,-111.07906,39.55024,0.7099928,0.08303792,A
82,-111.16073,39.32302,0.64671373,0.17576249,A
83,-111.15823,39.33052,0.64032036,0.09834412,A
84,-111.10906,39.47608,0.6446738,0.09526985,A
85,-111.09961,39.50441,0.7254435,0.039092846,A
86,-111.15878,39.34274,0.51003563,0.16633593,A
87,-111.14795,39.37608,0.6426052,0.11932926,A
88,-111.11406,39.47163,0.7102999,0.055909194,A
89,-111.09684,39.52108,0.72282946,0.008668308,A
90,-111.16739,39.32441,0.65736,0.1740896,A
91,-111.13239,39.42358,0.5861767,0.21081111,A
92,-111.16934,39.32135,0.5742107,0.19959635,A
93,-111.20156,39.23163,0.56582314,0.2516254,A
94,-111.20267,39.23052,0.6236612,0.25099802,A
95,-111.15545,39.36441,0.67755926,0.13617896,A
96,-111.101,39.5183,0.71770453,0.0,A
97,-111.101,39.51913,0.72481465,0.008744992,A
98,-111.17017,39.32469,0.65136945,0.18720095,A
99,-111.10934,39.50108,0.7295965,0.0035458088,A
100,-111.161,39.35608,0.440256,0.25014976,A
101,-111.0935,39.54774,0.65894365,0.1124885,A
102,-111.09545,39.54802,0.5965065,0.19434519,A
103,-111.101,39.53441,0.73056686,0.0366043,A
104,-111.15573,39.3808,0.39851275,0.40424109,B
105,-111.12489,39.46858,0.6674196,0.14671099,A
106,-111.15628,39.38135,0.6152064,0.108590044,A
107,-111.17156,39.33858,0.69320005,0.114834614,A
108,-111.17184,39.33885,0.68682605,0.1286242,A
109,-111.10017,39.54358,0.72209203,0.06935655,A
110,-111.15156,39.40024,0.6580929,0.13303922,A
111,-111.10461,39.53302,0.73925334,0.035214107,A
112,-111.16295,39.36941,0.6843174,0.06036237,A
113,-111.12073,39.49219,0.71141744,0.05117004,A
114,-111.11823,39.5008,0.6585894,0.10731825,A
115,-111.116,39.50969,0.6974769,0.01462297,A
116,-111.11545,39.51135,0.67308235,0.07734184,A
117,-111.17878,39.3333,0.5998728,0.19813162,A
118,-111.1085,39.53247,0.7203323,0.054224886,A
119,-111.17795,39.33691,0.60958356,0.12786071,A
120,-111.12739,39.48024,0.7305908,0.052704886,A
121,-111.11573,39.51385,0.7144077,0.029649468,A
122,-111.1235,39.49358,0.7358518,0.010999923,A
123,-111.19184,39.30135,0.7863496,0.122532316,A
124,-111.211,39.24774,0.42724967,0.2806944,B
125,-111.19184,39.30219,0.7760314,0.13305674,A
126,-111.10684,39.54302,0.7136607,0.06380127,A
127,-111.111,39.53191,0.66090137,0.08790805,A
128,-111.14962,39.42385,0.62496936,0.14805855,A
129,-111.21489,39.24024,0.4842905,0.24986292,A
130,-111.10823,39.5433,0.67993426,0.085218854,A
131,-111.17295,39.36108,0.6467505,0.06740529,A
132,-111.11823,39.51663,0.70347583,0.054909587,A
133,-111.19212,39.30941,0.59372735,0.206568,A
134,-111.04267,39.73107,0.6317701,0.12003362,A
135,-111.04378,39.7283,0.6551545,0.1053103,A
136,-111.16017,39.40302,0.6271341,0.12325404,A
137,-111.17934,39.35024,0.5548426,0.18457927,A
138,-111.12239,39.51135,0.708715,0.00010087017,A
