Name,X,Y,A,B,C,Signal
1,-111.05961,39.43413,0.6626997,0.023436807,0.1243466,A
2,-111.066,39.4233,0.6703766,0.028721351,0.14722036,A
3,-111.05322,39.4658,0.6154742,8.8870365e-7,0.2038245,A
4,-111.06961,39.42858,0.66978204,0.010854815,0.043549106,A
5,-111.11211,39.32108,0.6400007,0.15240856,0.009932958,A
6,-111.056,39.49469,0.76309943,5.0003822e-5,0.09343811,A
7,-111.05628,39.49469,0.7606236,0.0,0.08823354,A
8,-111.05656,39.49469,0.6946497,0.0,0.17521709,A
9,-111.11628,39.32802,0.8554055,0.041762557,0.007241266,A
10,-111.11267,39.34552,0.52868885,0.18160547,0.0042920117,B
11,-111.12184,39.32024,0.8479559,0.0006844108,0.01729116,A
12,-111.12239,39.31941,0.6157284,0.089479834,0.23260057,C
13,-111.12378,39.32163,0.6391126,0.06531316,0.21515284,A
14,-111.12378,39.32191,0.6888334,0.062642746,0.21000199,A
15,-111.12383,39.32187,0.73220456,0.07522793,0.17897564,A
16,-111.11989,39.33497,0.63205945,0.062942125,0.21498936,A
17,-111.12795,39.31969,0.6090849,0.053710677,0.28617105,C
18,-111.12795,39.31997,0.61668044,0.045495264,0.28939745,C
19,-111.12573,39.32802,0.6349823,0.041826278,0.2443801,A
20,-111.12795,39.3233,0.63667214,0.046066772,0.251493,C
21,-111.13017,39.31941,0.6632257,0.054411013,0.21887217,A
22,-111.12739,39.32858,0.62717617,0.052583385,0.23058207,A
23,-111.101,39.40386,0.665104,0.01949116,0.1540149,A
24,-111.10489,39.3933,0.63496476,0.092917934,0.20850693,A
25,-111.09017,39.43636,0.6880001,0.017091041,0.14172864,A
26,-111.09684,39.42302,0.7247215,2.1987037e-6,0.13629222,A
27,-111.13184,39.3258,0.62234086,0.0804336,0.22124697,A
28,-111.06295,39.52219,0.6913994,0.023902759,0.1573989,A
29,-111.13461,39.32358,0.58949673,0.061143193,0.21458843,A
30,-111.08517,39.46386,0.71346045,0.0,0.11379728,A
31,-111.06545,39.52385,0.7051206,0.034233525,0.15125166,A
32,-111.06628,39.52191,0.6704406,0.07111027,0.14049372,A
33,-111.08906,39.45802,0.6621101,0.025552979,0.022389755,A
34,-111.13795,39.32024,0.67037314,0.020285424,0.17100054,A
35,-111.09239,39.45163,0.7181798,0.02215368,0.08628078,A
36,-111.06684,39.52358,0.7364723,0.0,0.17189877,A
37,-111.06711,39.52302,0.66139704,0.05071679,0.14734466,A
38,-111.06378,39.53247,0.68646765,0.022989312,0.09071114,A
39,-111.07406,39.50608,0.7352474,0.0,0.16479439,A
40,-111.06684,39.52719,0.61557096,0.05328928,0.10495569,A
41,-111.20461,39.13803,0.6800266,0.10305654,0.05888642,A
42,-111.12878,39.35469,0.6493993,0.033269234,0.20440972,A
43,-111.13573,39.33552,0.6583748,0.041900616,0.23302563,A
44,-111.14017,39.32636,0.66167146,0.15434359,0.14875215,A
45,-111.14267,39.31941,0.62396646,0.07986197,0.21149497,A
46,-111.11211,39.4058,0.6752961,0.04995852,0.1825073,A
47,-111.11406,39.40136,0.63497686,0.053561054,0.20424269,A
48,-111.14406,39.31941,0.6459398,0.05488332,0.19334869,A
49,-111.07572,39.51247,0.72635424,0.0,0.12863494,A
50,-111.13406,39.3483,0.6465701,0.03945791,0.2162018,A
51,-111.07572,39.5133,0.6891663,0.050364763,0.14484614,A
52,-111.13156,39.35747,0.66401637,0.049012057,0.19477785,A
53,-111.13878,39.33774,0.60563856,0.04962329,0.15649956,A
54,-111.07128,39.52858,0.73417073,2.5821462e-5,0.09625401,A
55,-111.071,39.5308,0.6619226,0.03885712,0.08954537,A
56,-111.11684,39.4033,0.46048656,0.34819153,0.05820462,B
57,-111.07128,39.53163,0.63906145,0.067299284,0.082359485,A
58,-111.14295,39.3308,0.552416,0.079311825,0.23501132,C
59,-111.146,39.32302,0.62112665,0.08254104,0.003209375,A
60,-111.14989,39.31274,0.64311975,0.048826046,0.07750666,A
61,-111.14295,39.33469,0.65629596,0.067199774,0.22864564,A
62,-111.14267,39.33663,0.62756574,0.052654207,0.22199768,A
63,-111.13934,39.34636,0.5780103,0.06664723,0.18910284,A
64,-111.11878,39.40469,0.7214281,0.12506688,0.0037799112,A
65,-111.07572,39.52802,0.689406,0.0,0.09894744,A
66,-111.10545,39.44552,0.40781724,0.37360042,0.041059293,B
67,-111.07545,39.53024,0.7326842,0.01303773,0.097890265,A
68,-111.18378,39.23108,0.4387405,0.1481312,0.36323264,C
69,-111.09378,39.48691,0.72540164,8.553173e-5,0.13918816,A
70,-111.0785,39.52997,0.6817252,0.0,0.09655235,A
71,-111.15128,39.32691,0.65186954,0.06493273,0.19719562,A
72,-111.1485,39.33497,0.71877426,0.06614709,0.009735828,A
73,-111.09739,39.48413,0.6300812,0.052902598,0.06705593,A
74,-111.08322,39.5258,0.67724013,0.0,0.095029406,A
75,-111.14573,39.35024,0.6164062,0.051572714,0.16746438,A
76,-111.14878,39.34219,0.5817753,0.16939154,0.004225517,A
77,-111.09906,39.48441,0.60940856,0.10859349,0.0031349573,A
78,-111.0835,39.52913,0.7079374,0.016591463,0.12028814,A
79,-111.09934,39.48524,0.61927944,0.044479072,0.1698895,A
80,-111.11323,39.45163,0.6309803,0.043193195,0.14673042,A
81,-111.07906,39.55024,0.70876485,0.0057653394,0.17687821,A
82,-111.16073,39.32302,0.641799,0.067275785,0.2259894,A
83,-111.15823,39.33052,0.629125,0.0285561,0.17344803,A
84,-111.10906,39.47608,0.6320822,0.046941068,0.14640398,A
85,-111.09961,39.50441,0.70959216,3.4859067e-7,0.14172539,A
86,-111.15878,39.34274,0.55353636,0.15107003,0.012797574,A
87,-111.14795,39.37608,0.63634044,0.032895815,0.18978056,A
88,-111.11406,39.47163,0.6971762,0.011087752,0.1472398,A
89,-111.09684,39.52108,0.6982669,0.0,0.10741802,A
90,-111.16739,39.32441,0.64802223,0.07550445,0.21829373,A
91,-111.13239,39.42358,0.59055555,0.06913004,0.25687188,C
92,-111.16934,39.32135,0.5521804,0.13481474,0.18153587,A
93,-111.20156,39.23163,0.5428876,0.1528237,0.22763132,C
94,-111.20267,39.23052,0.61862415,0.11645991,0.26232412,C
95,-111.15545,39.36441,0.6673858,0.054482024,0.19315477,A
96,-111.101,39.5183,0.7615411,0.0,0.042441275,A
97,-111.101,39.51913,0.7587231,0.00023386792,0.009727591,A
98,-111.17017,39.32469,0.6356586,0.09678893,0.21416312,A
99,-111.10934,39.50108,0.7381048,0.0074794805,0.039224107,A
100,-111.161,39.35608,0.37808332,0.30057493,0.07885974,B
101,-111.0935,39.54774,0.6570039,0.042257577,0.17130844,A
102,-111.09545,39.54802,0.60089076,0.08850797,0.21447802,A
